id,name,addr,city,state,zipcode,phone,website,pricerange,category,ratingvalue,neighborhood,takes reservations,delivery,take-out,accepts credit cards,good for,parking,attire,ambience,alcohol,outdoor seating,wi-fi,waiter service,caters
886,inatteso pizzabar casano,28 west st,new york,ny,10004,(212) 267-8000,inattesopizzabar.com,$$,italian;pizza,3.5,battery park,yes,yes,yes,yes,dinner,street,casual,casual,full bar,yes,no,yes,yes
887,the anchored inn,57 waterbury st,new york,ny,11206,(718) 576-3297,theanchoredinn.com,$$,bars;american (traditional);music venues,4.0,east williamsburg,no,no,yes,yes,lunch,street,casual,divey,full bar,yes,no,yes,no
888,locanda verde,377 greenwich st,new york,ny,10013,(212) 925-3797,locandaverdenyc.com,$$$,italian,4.0,tribeca,yes,no,no,yes,dinner,street,casual,trendy,full bar,yes,no,yes,no
889,matisse,924 2nd ave,new york,ny,10022,(212) 546-9300,matissenyc.com,$$,french,4.0,midtown east,yes,no,no,yes,dinner,street,casual,casual,full bar,yes,no,yes,yes
890,jack the horse tavern,66 hicks st,new york,ny,11201,(718) 852-5084,jackthehorse.com,$$$,american (new),4.0,brooklyn heights,yes,no,yes,yes,dinner,street,casual,romantic,full bar,no,no,yes,no
891,piora,430 hudson st,new york,ny,10014,(212) 960-3801,pioranyc.com,$$$$,american (new),4.0,west village,yes,no,no,yes,dinner,street,dressy,intimate,full bar,no,no,yes,no
892,uncle gussy’s,345 park ave,new york,ny,10154,(929) 600-1111,unclegussys.com,$,greek,4.5,midtown east,no,no,yes,no,lunch,street,casual,casual,no,no,no,no,no
893,bar b,84 7th ave,new york,ny,10011,(212) 229-1888,barbnyc.com,$$,italian;bars;tapas bars,4.5,chelsea,no,no,yes,yes,lunch,,casual,divey,beer & wine only,no,no,no,no
894,habana outpost,757 fulton st,new york,ny,11217,(718) 858-9500,habanaoutpost.com,$$,cuban;mexican,4.0,fort greene,no,no,yes,no,lunch,street,casual,casual,full bar,yes,no,no,no
895,brooklyn stoops,748 myrtle ave,new york,ny,11205,(347) 378-2505,,$,breakfast & brunch;bars,4.0,bedford stuyvesant,no,no,yes,yes,brunch; late night,street,casual,casual,full bar,yes,free,yes,no
896,delaware and hudson,135 n 5th st,new york,ny,11211,(718) 218-8191,delawareandhudson.com,$$,american (traditional),4.0,williamsburg - north side,yes,no,yes,yes,brunch; dinner,street,casual,casual,beer & wine only,no,no,yes,no
897,the narrows,1037 flushing ave,new york,ny,11237,,,$$,bars;american (new),4.0,east williamsburg; bushwick,no,no,no,no,late night,street,casual,hipster; classy,full bar,yes,no,yes,no
898,houseman,508 greenwich st,new york,ny,10013,(212) 641-0654,housemanrestaurant.com,$$$,american (new);comfort food;scandinavian,4.5,south village,yes,no,,yes,,,dressy,trendy; intimate,full bar,,,yes,
899,salt & fat,41-16 queens blvd,new york,ny,11104,(718) 433-3702,saltandfatny.com,$$,american (new);asian fusion,4.0,sunnyside,no,no,yes,yes,dinner,street,casual,casual,beer & wine only,no,free,yes,no
900,adrienne’s pizzabar,54 stone st,new york,ny,10004,(212) 248-3838,,$$,pizza;italian,4.0,financial district,yes,yes,yes,yes,lunch,street,casual,casual,full bar,yes,no,yes,yes
901,stocked,635 vanderbilt ave,new york,ny,11238,(929) 234-6554,stockedbrooklyn.com,$$,american (new);sandwiches,4.0,prospect heights,no,no,yes,yes,lunch,street,casual,casual,beer & wine only,yes,free,no,yes
902,gallitos kitchen,140 montague st,new york,ny,11201,(718) 855-4791,gallitoskitchenbrooklyn.com,$$,mexican,4.0,brooklyn heights,yes,yes,yes,yes,brunch,street,casual,casual,beer & wine only,no,no,yes,yes
903,fonda,40 avenue b,new york,ny,10009,(212) 677-4096,fondarestaurant.com,$$,mexican,4.0,east village; alphabet city,yes,yes,yes,yes,brunch,street,casual,casual,full bar,no,no,yes,yes
904,joe’s shanghai,9 pell st,new york,ny,10013,(212) 233-8888,joeshanghairestaurants.com,$$,shanghainese,4.0,chinatown; civic center,no,no,yes,no,lunch; dinner,street,casual,casual,beer & wine only,no,no,yes,no
905,yuca bar & restaurant,111 avenue a,new york,ny,10009,(212) 982-9533,yucabarnyc.com,$$,latin american;tapas bars,4.0,east village; alphabet city,yes,no,yes,yes,dinner,street,casual,casual,full bar,yes,no,yes,no
906,juniper,112 berry st,new york,ny,11211,(718) 782-8777,juniperbrooklyn.com,$$,burgers;american (traditional),4.0,williamsburg - north side,no,yes,yes,no,lunch; dinner,street,casual,casual,no,yes,no,yes,yes
907,milk and roses,1110 manhattan ave,new york,ny,11222,(718) 389-0160,milkandrosesbk.com,$$,italian;cocktail bars,4.0,greenpoint,no,no,yes,no,lunch,street,casual,casual,full bar,yes,free,yes,no
908,el almacen,557 driggs ave,new york,ny,11211,(718) 218-7284,elalmacennyc.com,$$,argentine;latin american,4.0,williamsburg - north side,yes,no,yes,yes,dinner,street,casual,intimate,full bar,yes,free,yes,yes
909,yerba buena,23 ave a ste a,new york,ny,10009,(212) 529-2919,ybnyc.com,$$$,latin american;spanish,4.0,east village; alphabet city,yes,yes,yes,yes,dinner,street,casual,trendy,full bar,no,free,yes,yes
910,fishmarket restaurant,111 south st,new york,ny,10038,(917) 983-0682,,$$,seafood;burgers,4.5,south street seaport,yes,yes,yes,yes,dinner,street,casual,casual,full bar,no,free,yes,yes
911,pepe rosso to go,149 sullivan st,new york,ny,10012,(212) 677-4555,peperossotogo.com,$,italian,4.0,south village,no,yes,yes,yes,lunch,street,casual,casual,beer & wine only,no,no,no,no
912,iron chef house,92 clark st,new york,ny,11201,(718) 858-8517,ironchefbrooklyn.com,$$,sushi bars,4.0,brooklyn heights,yes,yes,yes,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,no
913,samurai papa,32 varet st,new york,ny,11206,(718) 599-7171,,$$,ramen,4.5,east williamsburg,no,no,yes,no,dinner,street,casual,casual,full bar,no,free,yes,no
914,almar,111 front st,new york,ny,11201,(718) 855-5288,almardumbo.com,$$,italian,4.0,dumbo,yes,no,yes,no,brunch,street,casual,casual,full bar,no,no,yes,yes
915,the food sermon kitchen,355 rogers ave,new york,ny,11225,(718) 484-7555,thefoodsermon.com,$$,caribbean,4.5,crown heights,no,no,yes,yes,dinner,street,casual,casual,no,no,free,no,yes
916,corner bistro,331 w 4th st,new york,ny,10014,(212) 242-9502,cornerbistrony.com,$,burgers;bars,3.5,west village,no,no,yes,no,dinner; late night,street,casual,casual,full bar,no,no,yes,no
917,han dynasty,90 3rd ave,new york,ny,10003,(212) 390-8685,handynasty.net,$$,szechuan;soup,4.0,east village,no,yes,yes,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,no
918,dos toros taqueria,137 4th ave,new york,ny,10003,(212) 677-7300,dostoros.com,$,mexican,4.0,union square; east village; greenwich village,no,no,yes,yes,lunch,,casual,casual,beer & wine only,no,no,no,yes
919,the redhead,349 e 13th st,new york,ny,10003,(212) 533-6212,theredheadnyc.com,$$,soul food;seafood;burgers,4.0,east village,no,no,no,yes,dinner,street,casual,casual,full bar,no,no,yes,no
920,lic market,21-52 44th dr,new york,ny,11101,(718) 361-0013,licmarket.com,$$,breakfast & brunch;american (new),4.0,long island city,no,yes,yes,yes,brunch,street,casual,casual,beer & wine only,yes,no,yes,yes
921,khao thai kitchen,235 sullivan st,new york,ny,10012,(646) 726-4418,khaothainyc.com,$$,thai;asian fusion,4.0,greenwich village,yes,yes,yes,yes,,,casual,,no,no,no,yes,yes
922,fonda,434 7th ave,new york,ny,11215,(718) 369-3144,fondarestaurant.com,$$,mexican,4.0,park slope; south slope,yes,yes,yes,yes,dinner,street,casual,casual,full bar,yes,no,yes,yes
923,mountain province,9 meserole st,new york,ny,11206,(718) 387-7030,,$,cafes;bakeries;coffee & tea,5.0,east williamsburg,no,no,yes,yes,breakfast,street,casual,hipster,no,no,free,no,no
924,balaboosta,214 mulberry st,new york,ny,10012,(212) 966-7366,balaboostanyc.com,$$$,mediterranean,4.0,nolita,yes,no,yes,yes,dinner,garage; street,casual,casual,beer & wine only,no,no,yes,no
925,izakaya mew,53 w 35th st basement,new york,ny,10001,(646) 368-9384,mewnyc.com,$$,japanese;sushi bars,4.0,midtown west,no,no,yes,yes,late night,street,casual,casual,full bar,no,free,yes,yes
926,krupa grocery,231 prospect park w,new york,ny,11215,(718) 709-7098,krupagrocery.com,$$,bars;coffee & tea;american (new),4.5,windsor terrace,yes,no,no,yes,brunch,street,casual,hipster,full bar,yes,no,yes,yes
927,upright brew house,547 hudson st,new york,ny,10014,(212) 810-9944,uprightbrewhouse.com,$$,american (new);bars,4.0,west village,no,no,yes,yes,brunch,street,casual,hipster,beer & wine only,yes,free,yes,no
928,feast,102 3rd ave,new york,ny,10003,(212) 529-8880,eatfeastnyc.com,$$$,american (new);breakfast & brunch,4.0,east village,yes,no,no,yes,brunch,street,casual,intimate,full bar,no,free,yes,no
929,capizzi,547 9th ave,new york,ny,10018,(212) 695-6900,capizzinyc.com,$$,pizza,4.0,theater district; hell's kitchen; midtown west,yes,yes,yes,yes,dinner,garage; street,casual,casual,beer & wine only,no,free,yes,no
930,sweet science,135 graham ave,new york,ny,11206,(347) 763-0872,sweetsciencebklyn.com,$$,bars;burgers;american (new),4.0,east williamsburg,yes,no,yes,yes,brunch; late night,street,casual,hipster,full bar,no,free,yes,no
931,didi dumpling,38 lexington ave,new york,ny,10010,(212) 466-6618,dididumplings.com/location.ht…,$,chinese;specialty food,4.0,flatiron,no,no,yes,yes,brunch,garage,casual,divey,no,no,no,no,no
932,boubouki,essex st market 120 essex st,new york,ny,10002,(718) 344-4202,bouboukinyc.com,$,greek;food stands,4.5,lower east side,no,no,yes,no,lunch,street,casual,casual,no,no,no,no,yes
933,little collins,667 lexington ave,new york,ny,10022,(212) 308-1969,littlecollinsnyc.com,$$,cafes,4.5,midtown east,no,no,yes,yes,brunch,street,casual,hipster,no,no,no,no,no
934,fish,280 bleecker st,new york,ny,10014,(212) 727-2879,fishrestaurantnyc.com,$$,seafood,4.0,west village,,no,yes,yes,dinner,street,casual,casual,full bar,yes,no,yes,no
935,lamazou,370 3rd ave,new york,ny,10016,(212) 532-2009,lamazoucheese.com,$,cheese shops;sandwiches;caterers,4.5,kips bay,no,yes,yes,yes,lunch,street,casual,casual,no,no,no,no,yes
936,semsom,2 astor pl,new york,ny,10003,(212) 979-2363,semsom.com,$,mediterranean,4.5,greenwich village; noho,no,yes,yes,yes,lunch,garage,casual,casual,no,no,free,no,no
937,great ny noodle town,28 bowery,new york,ny,10013,(212) 349-0923,,$,cantonese,3.5,chinatown,no,no,yes,no,lunch; dinner; late night,street,casual,casual,beer & wine only,no,no,yes,no
938,blend on the water,4540 center blvd,new york,ny,11109,(718) 606-9851,blendnewyorkcity.com,$$,latin american,4.0,hunters point,yes,no,yes,yes,dessert,valet; garage; street,casual,trendy,full bar,yes,free,yes,yes
939,il posto accanto,190 e 2nd st,new york,ny,10009,(212) 228-3562,ilpostoaccanto.com,$$,italian;wine bars,4.5,east village; alphabet city,,no,no,yes,dinner; late night,street,casual,intimate,,yes,free,yes,yes
940,pio pio,604 10th ave,new york,ny,10036,(212) 459-2929,piopio.com,$$,peruvian,4.0,hell's kitchen; midtown west,yes,yes,yes,yes,dinner,street,casual,trendy,full bar,no,no,yes,no
941,masha & the bear,771 grand st,new york,ny,11211,(718) 384-5000,mashaandthebear.nyc,$$,russian;gastropubs;bars,5.0,east williamsburg,yes,yes,yes,yes,dessert,street,casual,,full bar,yes,no,yes,
942,iris cafe,20 columbia place,new york,ny,11201,(718) 722-7395,iriscafe.nyc/home,$$,breakfast & brunch;cafes;bars,4.0,brooklyn heights,yes,no,yes,yes,brunch,street,casual,casual,full bar,no,no,yes,no
943,colicchio & sons tap room,85 10th ave,new york,ny,10011,(212) 400-6699,colicchioandsons.com,$$$,american (new),4.0,meatpacking district; chelsea,yes,no,no,yes,dinner,street,dressy,classy,full bar,no,no,yes,yes
944,sam’s spring roll,23 essex st,new york,ny,10002,(212) 777-7211,samsspringroll.com,$,asian fusion,4.5,lower east side; chinatown,no,yes,yes,yes,lunch,street,casual,divey,no,no,no,no,yes
945,gardenia,64 downing st,new york,ny,10014,(212) 604-0500,gardenianyc.com,$$,mediterranean;latin american;cocktail bars,4.0,west village,yes,no,yes,yes,dinner,,casual,trendy,full bar,no,free,yes,no
946,bijan’s,81 hoyt st,new york,ny,11201,(718) 855-5574,bijansbrooklyn.com,$$,american (new);cocktail bars,4.0,downtown brooklyn; boerum hill,yes,no,yes,yes,brunch; dinner; late night,street,casual,hipster,full bar,no,free,yes,yes
947,da mikele,275 church st,new york,ny,10013,(212) 925-8800,damikele.com,$$,italian,4.0,tribeca,yes,yes,yes,yes,dinner,street,casual,casual,full bar,no,no,yes,yes
948,club a steakhouse,240 e 58th st,new york,ny,10022,(212) 688-4190,clubasteakhouse.com,$$$,"steakhouses;beer, wine & spirits",4.5,midtown east,yes,yes,yes,yes,dinner,garage; street; validated,dressy,classy,full bar,yes,no,yes,no
949,tavern29,47 e 29th st,new york,ny,10016,(212) 685-4422,tavern29.com,$$,pubs;american (new),4.0,midtown east; flatiron,yes,yes,yes,yes,brunch,garage; street,casual,casual,full bar,yes,free,yes,yes
950,kilo,857 9th ave,new york,ny,10019,(212) 707-8770,nyckilo.com,$$,tapas bars;wine bars;modern european,4.0,hell's kitchen; midtown west,yes,no,no,yes,dinner,street,casual,intimate,beer & wine only,yes,no,yes,no
951,kori,253 church st,new york,ny,10013,(212) 334-0908,korinyc.com,$$,korean,4.0,tribeca,yes,yes,yes,yes,dinner,garage; street,casual,intimate,beer & wine only,no,no,yes,yes
952,taste good malaysian cuisine,82-18 45th ave,new york,ny,11373,(718) 898-8001,,$,malaysian,4.0,elmhurst,no,no,yes,no,lunch; dinner,street,casual,casual,no,no,no,yes,no
953,sweet chick,178 ludlow st,new york,ny,10002,(646) 657-0233,sweetchicknyc.com,$$,southern,4.0,lower east side,no,no,yes,yes,brunch,street,casual,casual,full bar,no,no,yes,no
954,the thirsty koala,35-12 ditmars blvd,new york,ny,11105,(347) 966-3182,thethirstykoala.com,$$,australian,4.0,astoria,yes,yes,yes,yes,dinner,street,casual,casual,full bar,yes,free,yes,yes
955,louie and chan,303 broome st,new york,ny,10002,(212) 837-2816,louieandchan.com,$$,italian,4.0,lower east side,yes,no,yes,yes,dinner; late night,street,casual,trendy,full bar,no,no,yes,no
956,the barn,30-09 21st st,new york,ny,11102,(718) 728-0305,thebarnastoria.com,$$,american (new);lounges,4.0,astoria,yes,no,yes,yes,,,casual,casual,full bar,yes,,yes,
957,m.o.b.,525 atlantic ave,new york,ny,11217,(718) 797-2555,mob-usa.com,$$,vegetarian;vegan,4.0,boerum hill,yes,no,yes,yes,lunch,street,casual,hipster,beer & wine only,yes,free,yes,no
958,sole di capri,165 church st,new york,ny,10007,(212) 513-1113,soledicapriny.com,$$,italian,4.0,tribeca,yes,yes,yes,no,lunch; dinner,street,casual,intimate,beer & wine only,no,no,yes,yes
959,kimchi grill,766 washington ave,new york,ny,11238,(718) 360-1839,kimchigrill.com,$,mexican;korean;barbeque,4.0,crown heights; prospect heights,no,yes,yes,yes,lunch; dinner,street,casual,casual,full bar,no,free,no,yes
960,the levee,212 berry st,new york,ny,11211,(718) 218-8787,theleveenyc.com,$,american (traditional);bars,4.0,williamsburg - north side,no,no,no,yes,late night,street,casual,hipster,full bar,yes,free,no,no
961,carnegie john’s,56th st & 7th ave,new york,ny,10011,,,$,burgers;food stands;sandwiches,4.5,midtown west,no,no,yes,no,lunch,street,casual,casual,no,no,no,no,no
962,bluebird food & spirits,504 flatbush ave,new york,ny,11225,(718) 484-9494,,$$,american (traditional);bars,4.0,prospect lefferts gardens,no,no,yes,yes,brunch,street,casual,casual,full bar,yes,no,yes,no
963,taste of persia nyc,12 w 18th st,new york,ny,10011,(917) 592-3467,tasteofpersianyc.com,$$,persian/iranian,4.5,flatiron,no,no,yes,yes,lunch,street,casual,casual,no,no,free,no,yes
964,frankies 457,457 court st,new york,ny,11231,(718) 403-0033,frankiesspuntino.com,$$,italian;american (traditional),4.0,carroll gardens,yes,no,yes,yes,dinner,street,casual,casual,full bar,yes,no,yes,yes
965,buddha bodai,5 mott st,new york,ny,10013,(212) 566-8388,chinatownvegetarian.com,$$,vegetarian;dim sum;kosher,4.0,chinatown; civic center,yes,yes,yes,yes,lunch,street,casual,casual,no,no,no,yes,yes
966,cafe cluny,284 w 12th st,new york,ny,10014,(212) 255-6900,cafecluny.com,$$,french;american (new),4.0,west village,yes,no,yes,yes,brunch,street,casual,intimate,full bar,no,free,yes,no
967,yemen cafe & restaurant- downtown brooklyn,176 atlantic ave,new york,ny,11201,(718) 834-9533,yemencafe.com,$$,middle eastern;arabian;halal,4.0,brooklyn heights; cobble hill,no,no,yes,yes,dinner,street,casual,casual,no,no,no,yes,yes
968,bohemian restaurant,57 great jones st,new york,ny,10012,,playearth.jp,$$$,japanese,4.5,east village; noho,yes,no,no,yes,dinner,street,casual,intimate,full bar,no,no,yes,no
969,friedman’s,450 10th ave,new york,ny,10018,(212) 268-1100,friedmanslunch.com,$$,breakfast & brunch;gluten-free;american (new),4.0,hell's kitchen; midtown west,no,yes,yes,yes,brunch,street; private lot,casual,casual,full bar,no,free,yes,yes
970,luke’s lobster,242 e 81st st,new york,ny,10028,(212) 249-4241,lukeslobster.com,$$,seafood,4.0,yorkville; upper east side,no,yes,yes,yes,lunch,street,casual,casual,beer & wine only,no,no,no,yes
971,cornerstone cafe,17 ave b,new york,ny,10009,(212) 228-1260,cornerstonecafenyc.com,$$,italian;breakfast & brunch;american (new),4.0,east village; alphabet city,no,no,yes,no,brunch,street,casual,casual,full bar,yes,free,yes,no
972,henry’s end,44 henry st,new york,ny,11201,(718) 834-1776,henrysend.com,$$$,american (new);bars;seafood,4.0,brooklyn heights,yes,yes,yes,yes,dinner,street,casual,casual,full bar,no,no,yes,no
973,el colmado butchery,53 little w 12th st,new york,ny,10014,(212) 488-0000,elcolmadonyc.com,$$,wine bars;spanish;tapas bars,4.5,meatpacking district; west village,no,yes,yes,yes,lunch,,casual,,beer & wine only,no,,yes,yes
974,k rico,772 9th ave,new york,ny,10019,(212) 757-9393,kriconyc.com,$$$,bars;steakhouses,4.5,theater district; hell's kitchen; midtown west,yes,no,no,yes,dinner,street,casual,casual,full bar,yes,no,yes,yes
975,pies-n-thighs,166 s 4th st,new york,ny,11211,(347) 529-6090,piesnthighs.com,$$,southern;barbeque;breakfast & brunch,4.0,williamsburg - south side,no,yes,yes,yes,brunch,street,casual,hipster,beer & wine only,yes,no,yes,yes
976,runner & stone,285 3rd ave,new york,ny,11215,(718) 576-3360,runnerandstone.com,$$,cafes;bakeries;american (new),4.0,gowanus,yes,no,no,yes,brunch; dinner,street,casual,casual,full bar,no,no,yes,no
977,cafe triskell,33-04 36th ave,new york,ny,11106,(718) 472-0612,cafetriskell.co,$$,french;creperies,4.5,astoria; long island city,,,,no,brunch,street,casual,casual,,no,no,,no
978,the picnic basket,65 w 37th st,new york,ny,10018,(212) 382-2627,thepicnicbasketnyc.com,$,cafes;sandwiches;breakfast & brunch,4.0,midtown west,no,yes,yes,yes,lunch,garage; street,casual,casual,no,no,no,no,yes
979,ana & sophie’s,194 court st,new york,ny,11201,(718) 858-0600,anaandsophies.com,$,cafes;coffee & tea;breakfast & brunch,4.5,cobble hill,no,yes,yes,yes,brunch,,casual,,,no,free,,yes
980,paulie gee’s,60 greenpoint ave,new york,ny,11222,(347) 987-3747,pauliegee.com,$$,pizza;vegan;italian,4.5,greenpoint,no,no,,yes,dinner,street,casual,hipster,beer & wine only,no,free,yes,no
981,aquagrill,210 spring street,new york,ny,10012,(212) 274-0505,aquagrill.com,$$$,seafood,4.0,south village,yes,no,yes,yes,dinner,street,casual,classy,full bar,yes,no,yes,no
982,dadam,11 west 32nd st 2nd fl,new york,ny,10001,(917) 375-9226,,$$,"korean;beer, wine & spirits",5.0,koreatown; midtown west,no,no,yes,yes,brunch,,casual,casual,beer & wine only,no,no,no,no
983,lighthouse,145 borinquen pl,new york,ny,11211,(347) 789-7742,lighthousebk.com,$$,bars;modern european;american (new),4.0,williamsburg - south side,yes,no,yes,yes,dinner,street,casual,hipster,full bar,no,no,yes,no
984,momofuku noodle bar,171 1st ave,new york,ny,10003,(212) 777-7773,momofuku.com,$$,asian fusion;ramen,3.5,east village,no,no,yes,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,no
985,peasant stock,120 essex st,new york,ny,10002,(917) 601-9776,,$,soup,5.0,lower east side,no,no,yes,yes,lunch,,casual,casual,no,no,no,no,
986,parisi bakery,198 mott st,new york,ny,10012,(212) 226-6378,parisibakery.com,$,bakeries;sandwiches,4.5,nolita,no,no,yes,no,lunch,street,casual,casual,no,no,no,no,yes
987,zest,249 broome st,new york,ny,10002,(212) 677-3158,zest249.com,$$,sushi bars;japanese;thai,4.5,lower east side,yes,yes,yes,yes,dinner,street,casual,romantic,beer & wine only,no,free,yes,yes
988,bar san miguel,307 smith st,new york,ny,11231,(718) 855-2490,barsanmiguelbrooklyn.com,$$,mexican,4.0,gowanus,no,no,yes,yes,dinner,street,casual,trendy,full bar,yes,no,yes,no
989,almond,12 e 22nd st,new york,ny,10010,(212) 228-7557,almondnyc.com,$$,american (new);french;mediterranean,3.5,flatiron,yes,yes,yes,yes,brunch,garage; street,casual,casual,full bar,yes,free,yes,yes
990,jungsik,2 harrison st,new york,ny,10013,(212) 219-0900,jungsik.kr,$$$$,korean,4.5,tribeca,yes,no,no,yes,dinner,street,dressy,upscale,full bar,no,paid,yes,no
991,bouley,163 duane st,new york,ny,10013,(212) 964-2525,davidbouley.com,$$$$,french,4.5,tribeca,yes,no,no,yes,dinner,street,formal (jacket required),classy,full bar,no,no,yes,yes
992,tanner smiths,204 w 55 st,new york,ny,10019,(646) 590-2034,tannersmiths.com,$$,cocktail bars;american (new);pubs,4.5,midtown west,yes,no,no,yes,late night,garage,casual,casual,full bar,no,free,yes,no
993,fette sau,354 metropolitan ave,new york,ny,11211,(718) 963-3404,fettesaubbq.com,$$,barbeque,4.0,williamsburg - north side,no,no,yes,yes,dinner,street,casual,hipster,full bar,yes,no,no,no
994,xixa,241 s 4th st,new york,ny,11211,(718) 388-8860,xixany.com,$$$,mexican;tapas/small plates,4.5,williamsburg - south side,yes,no,no,yes,dinner,street,casual,trendy,full bar,no,no,yes,no
995,chef’s table at brooklyn fare,brooklyn fare 200 schermerhorn st,new york,ny,11201,(718) 243-0050,brooklynfare.com/chefs-table,$$$$,american (new),4.5,downtown brooklyn; boerum hill,yes,no,no,yes,dinner,street,formal (jacket required),upscale,no,no,no,yes,no
996,bakehouse bistro & bar,113 horatio st,new york,ny,10014,(646) 559-9871,,$$,french;american (new);burgers,4.0,west village,yes,yes,yes,yes,brunch,garage; street,casual,casual,full bar,yes,free,yes,yes
997,café moto,394 broadway,brooklyn,ny,11211,(718) 599-6895,cafe-moto.com,$$,cafes;bars,4.0,williamsburg - south side; south williamsburg,no,no,no,no,dinner,street,casual,intimate,beer & wine only,no,no,yes,no
998,gato,324 lafayette st,new york,ny,10012,(212) 334-6400,gatonyc.com,$$$,mediterranean;spanish;bars,4.0,noho,yes,no,no,yes,dinner,street,casual,trendy,full bar,no,no,yes,no
999,gok jee food,170 s western ave ste  a,los angeles,ca,90004,(213) 480-1800,gokjee.com,$$,korean,5.0,koreatown,no,yes,yes,no,,street; private lot,casual,,no,no,no,no,yes
1000,roc kitchen,2049 sawtelle blvd,los angeles,ca,90025,(310) 235-2089,,$$,chinese;taiwanese,4.0,sawtelle,no,no,yes,yes,lunch,valet; street; private lot; validated,casual,casual,no,yes,no,yes,no
1001,sushi fumi,359 n. la cienega blvd,los angeles,ca,90048,(310) 855-0006,sushi-fumi.com,$$,sushi bars,4.5,beverly grove,yes,no,yes,yes,,,casual,,beer & wine only,no,no,no,no
1002,yamakase,10422 national blvd,los angeles,ca,90034,,yamakase.com,$$$$,japanese;sushi bars,4.5,palms,yes,no,no,yes,dinner,street,casual,intimate,no,no,no,yes,no
1003,flores and sons,2024 sawtelle blvd,los angeles,ca,90025,(424) 273-6469,floreslosangeles.com,$$,american (new);comfort food,4.0,sawtelle,yes,no,yes,yes,brunch; dinner,valet; street,casual,trendy,beer & wine only,yes,free,yes,yes
1004,hot thai restaurant,416 s san vicente blvd,los angeles,ca,90048,(310) 659-9618,hotthairestaurant.com,$$,thai,4.0,beverly grove,yes,yes,yes,yes,brunch,valet; street; private lot,casual,divey,no,yes,free,yes,yes
1005,waba grill,1134 n. vermont ave.,los angeles,ca,90029,(323) 660-9222,wabagrill.com,$,fast food;asian fusion,4.0,east hollywood,no,no,yes,yes,lunch,private lot,casual,casual,no,yes,no,no,yes
1006,hms bounty,3357 wilshire blvd,los angeles,ca,90010,(213) 385-7275,thehmsbounty.com,$$,bars;american (traditional),4.0,koreatown; wilshire center,yes,no,yes,yes,dinner; late night,garage; street,casual,divey,full bar,no,no,yes,no
1007,cha cha chili,4625 valley blvd,los angeles,ca,90032,(323) 222-8900,chachachili.com,$,asian fusion;korean;mexican,4.0,el sereno,no,no,yes,yes,lunch,street; private lot,casual,casual,no,yes,no,no,yes
1008,cactus mexican food,950 vine st,los angeles,ca,90038,(323) 464-5865,,$,mexican,4.0,hollywood,no,no,yes,no,late night,street,casual,casual,no,yes,no,no,no
1009,greenspan’s grilled cheese,7461 melrose ave,los angeles,ca,90046,(323) 591-0177,greenspansgrilledcheese.com,$,american (new),4.0,fairfax,no,no,yes,yes,lunch,street,casual,hipster,no,yes,no,no,yes
1010,the village kitchen,1667 beverly blvd,los angeles,ca,90026,(213) 235-1487,gschomeless.org/2013/index.ph…,$,american (traditional),4.5,westlake,no,no,yes,yes,lunch,street,casual,casual,no,yes,no,no,yes
1011,fred’s downhome burgers,2524 w slauson ave,los angeles,ca,90043,(323) 298-7762,bestburgerslosangeles.co,$,burgers;american (traditional),4.0,hyde park,no,no,yes,yes,lunch,private lot,casual,casual,no,yes,no,no,no
1012,the zipbob,4003 wilshire blvd,los angeles,ca,90010,(213) 389-2818,,$$,korean,4.5,windsor square,no,no,yes,yes,brunch,,casual,casual,no,no,,yes,yes
1013,tacos baja ensenada,5385 whittier blvd,los angeles,ca,90022,(323) 887-1980,tacosbaja.com,$,mexican,4.5,east los angeles,no,no,yes,yes,lunch,street; private lot,casual,casual,no,yes,no,no,no
1014,brothers sandwich shop,3274 w 6th st,los angeles,ca,90020,(213) 383-9900,,$,sandwiches,4.5,koreatown; wilshire center,no,yes,yes,yes,lunch,street,casual,casual,no,no,no,no,yes
1015,the west end: craft bar and neighborhood kitchen,2116-b westwood blvd,los angeles,ca,90025,(310) 470-6601,thewestend.biz,$$,tapas/small plates;american (new);gastropubs,4.0,west los angeles,yes,no,yes,yes,dinner,street; private lot,casual,casual,full bar,no,no,yes,yes
1016,the punchbowl,4645 melbourne ave,los angeles,ca,90027,(323) 666-1123,lapunchbowl.com,$$,live/raw food;vegan;juice bars & smoothies,4.5,los feliz,no,no,yes,yes,breakfast,street,casual,casual,no,yes,free,no,no
1017,mexikosher,8832 w pico blvd,los angeles,ca,90035,(310) 271-0900,mexikosher.com,$$,kosher;mexican,4.0,pico-robertson,no,yes,yes,yes,lunch,street,casual,casual,no,yes,no,no,yes
1018,tulip cafe,628 saint vincent ct,los angeles,ca,90014,(213) 622-5621,,$$,american (new);mediterranean;cafes,4.5,downtown,yes,yes,yes,yes,lunch,street,casual,casual,no,yes,no,yes,yes
1019,the paan,3732 w 6th st,los angeles,ca,90020,(213) 516-2705,,$$,korean;barbeque,4.0,koreatown; wilshire center,yes,no,no,yes,,,casual,,beer & wine only,no,free,,
