custom_id,brand,modelno,title,price,descr,shipweight,dimensions1,dimensions2,dimensions3
147,startech,dmsvgavga1,startech.com dmsvgavga1 lfh 59 male to dual female vga dms 59 cable,15.0,connector on first end 2 x 15-pin hd-15 female video  connector on second end 1 x 59-pin dms-59 male  cable type video,0.25,10.35,4.95,0.45
148,middle atlantic,rlm30l5201,middle atlantic 30 amp stand-alone mpr module,237.99,30 amp stand-alone mpr module accepts nema l-520 20 amp twistlock plugs remote 12v dc dry closure local switch control- w status led.,3.0,0,0,0
149,xerox,108r00579,xerox 108r00579 transfer roller,199.88,print technology laser  page yield 100 000 pages  compatible with the xerox phaser 7500,3.8,18.0,7.47,5.85
150,imation,43347,imation 43347 dds-2 data cartridge,10.88,storage capacity 4 gb native 8 tb compressed  tape technology dat- dds-2  compatible with pcs,0.1,2.93,2.25,0.68
151,edge,pe206628,edge 160gb diskgo 2.5in. backup ultra portable usb 2.0 hard drive,57.48,the perfect portable storage solution for backing up and storing videos photos songs graphics and more.,1.1,9.0,6.0,3.0
152,neatreceipts,00346neat,neatreceipts portable mobile sheetfed scanner,199.98,scan area 1  maximum resolution 600 dpi usb powered,2.2,14.0,7.2,3.3
153,draper,104193,draper high contrast grey access series e electric screen  - widescreen 162 diagonal,1585.45,the access series e. motorized ceiling-recessed projection screen. sleek white extruded aluminum case installs above ceiling. trim flange finishes the ceiling opening. viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later date. features -now available in 16 10 and 15 9 laptop presentation formats.-install an access case first and the screen later..-motor-in-roller assures quiet and smooth operation..-depending on surface available in sizes through 12 x 12 and 200 ntsc..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material high contrast grey grey textile backed surface offers excellent resolution while enhancing the blacks of lcd and dlp projected images even as whites and lighter colors are maintained. performs well in ambient light condition. high contrast grey s lower gain of 0.8 allows use with even the brightest projectors viewing cone of 180 . available on most non-tensioned motorized and manual screens seamless in sizes up to 8  in height. peak gain of 0.8.,118.0,0,0,0
154,draper,116249l,draper matte white targa electric screen with low voltage controller - ntsc 200 diagonal,1557.95,targa electric projection screen. ideal for auditoriums and lecture halls hospitals hotels churches boardrooms and conference rooms. the motor is mounted inside the roller for a trim balanced appearance. pentagonal steel case is scratch-resistant white polyester finish with matching endcaps. features -now available in 16 10 and 15 9 laptop presentation formats.-screen operates instantly at the touch of a button and stops automatically in the up and down positions..-viewing surface can be lowered to any position at the touch of a switch..-ntsc hdtv and widescreen format screens have black borders on all four sides.-available with a ceiling trim kit for ceiling recessed installation..-with control options it can be operated from any remote location..-depending on surface available in sizes through 16 x 16 and 240 ntsc..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material matte white the standard to which all other screen surfaces are compared. matt white vinyl reflective surface laminated to tear-resistant woven textile base. a matt white surface diffuses projected light in all directions so the image can be seen from any angle. provides accurate color rendition as well as superior clarity. recommended for use with all high light output projection devices. requires control of ambient light in the audience area. washable flame and mildew resistant. peak gain 1.0.,100.0,0,0,0
155,kimberly-clark professional,12388,kimberly-clark professional scott slimroll hard white towels 6 ct,54.97,,15.0,18.25,12.25,8.5
156,sumdex,144952,sumdex slr camera sling pack,39.99,sumdex slr camera sling pack medium size camera sling pack designed for easy over the shoulder access to cameras and accessories. ideal camera sling pack for slr with mid range lens attached and 1-2 extra lenses and flash easy front access to camera accessory compartment while on shoulder multiple internal and external pockets for memory cards and accessories super fine silver lining for easy visibility and removable and changeable dividers lcd cleaning cloth inside hidden   for protection from moisture ergonomic and adjustable shoulder sling for easy carry made of water repellent polyester and high density foam padding,3.0,15.75,9.5,6.75
157,iluv,ibg2030gry,iluv 17  macbook pro sleeve gray,19.0,protects from bumps and dents water-resistant neoprene exterior pockets store accessories,0.56,16.0,13.0,1.0
158,quartet,cmp32,quartet total erase 3-month modular planning system aluminum frame 36,129.94,dry erase planning system designed for wall mounting modern graphics,13.0,0,0,0
159,griffin technology,gc32006,griffin arrowhead universal stand for tablets,0.0,compatible with most tablets with screens up to 10  2 weighted feet create a stable platform no skid grip,0.0,7.09,5.0,1.18
160,powermat,prl01001us,powermat wireless charging receiver for blackberry torch,23.88,requires powermat wireless charging mat for use replaces existing battery door on cell phone one time replacement,1.0,3.0,2.0,0.25
161,imation,15847,imation 3.5  diskettes ibm-formatted ds hd,39.09,antistatic design for backup storage sharing data and more ibm formatted,1.895,0,0,0
162,samsill,1750545,samsill 4  non-stick round ring poly view binder white,7.09,3-ring binder round rings keeps papers secure 2 inside pockets for loose documents,0.1,0,0,0
163,pacon products,63300,pacon rainbow duo-finish colored kraft paper 35 lbs. 36  x 1000 ft,62.94,lightweight roll size 36  x 1 000 perfect for classrooms and schools,34.0,0,0,0
164,cp tech,wan2140,cp technologies levelone wan-2140 panel antenna,78.67,easy to install directional operation integrated n-type female connector,2.4,14.2,9.9,3.0
165,d-link,dap1350,d-link dap-1350 wireless-n pocket router and access point,99.99,multi-mode functionality wireless-n technology for powerful wi-fi shareport technology lets you share printers and more over your network,1.1,9.0,6.0,3.1
166,da-lite,,da-lite advance tv quick link wall mount for 32 - 35 monitors,282.99,exclusive quick link design speeds up installation time and enhances mount safety. threaded vertical mechanical compression on monitor case prevents monitor roll out. models include a ul approved single support arm and when required a double or triple stud span bracket for safe mounting to solid concrete hollow block concrete wood stud and steel stud structural wall surfaces. features -easy 360-degrees of swivel with locking adjustment and 0-30-degrees threaded tilt adjustment. -fits most standard 32 - 35 televisions. -width adjustment range 28 3 4 - 36 1 4 -height adjustment range 26 1 4 - 32 1 4 -weight capacity 70-200 lbs. depending on monitor size available models -d16 wall mount bracket spans two studs on 16 centers. -d24 wall mount bracket spans two studs on 24 centers. -t16 wall mount bracket spans three studs on 16 centers. -t24 wall mount bracket spans three studs on 24 centers.,58.0,0,0,0
167,da-lite,23074,da-lite da-view thru-the-wall rear projection screen - 58 x 104 hdtv format,22472.99,the da-lite thru-the-wall rear projection screen is a rear projection package that comes complete with a factory framed rear projection screen of your choice and a rear projection module. the rpm is a precision made aluminum extrusion based rear projection system custom engineered to meet the exacting requirements of today s digital projectors. the rpm is standard with a fine-tuning projector mount cradle which provides a host of alignment adjustments and features a mirror mounted by a three-point suspension system to ensure superior stability and flatness. the perfect mirror adjustment systems is a standard feature on all mirror systems for 42 x 60 and smaller mirrors.,882.0,0,0,0
168,sony,mdrex57lpblk,sony premium ex earbuds mdrex57lp blk,39.99,frequency response 6hz-23khz 9mm closed driver units deep full bass sound,1.0,7.0,2.5,1.5
169,arkon,ipmtab1,arkon ipad desktop and travel stand,14.09,perfect for travel on planes trains etc. for use as a seat-back tray table stand support legs feature non-skid cushioned pads for added stability,0.5,8.0,6.0,2.0
170,,,bic triumph 537r 0.7mm roller pen blue 4 ct. 2-pack,7.76,,0.0,0,0,0
171,tribeca,fva2344,tribeca university of alabama ipad slip sleeve,28.0,fits ipads shock-absorbing neoprene faux fur interior lining,0.35,11.4,8.3,0.7
172,draper,104043,draper glass beaded access series e electric screen  - ntsc 100 diagonal,1486.95,the access series e. motorized ceiling-recessed projection screen. sleek white extruded aluminum case installs above ceiling. trim flange finishes the ceiling opening. viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later date. features -now available in 16 10 and 15 9 laptop presentation formats.-install an access case first and the screen later..-motor-in-roller assures quiet and smooth operation..-depending on surface available in sizes through 12 x 12 and 200 ntsc..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material glass beaded brighter on-axis viewing than matt white surfaces within a narrower viewing cone. some loss of clarity. not for use with ceiling or floor mounted projectors. flame and mildew resistant but cannot be cleaned. now available seamless in all standard sizes through 10 high.,77.0,0,0,0
173,asus,eah6870d2di2s1g,asus us radeon 1gb gddr5 hd6870 pci express graphics card,199.82,915mhz gpu memory 1gb gddr5 interfaces hdmi 1 dual link dvi 1 single link dvi 2 mini display port directx 11 support,3.55,16.1,9.3,3.7
174,zoom,90060000f,zoom telephonics 9006-00-00f wireless keyboard with touchpad,41.75,small rugged design built-in touchpad 4 media hotkeys 30  9m range compatible with xbox 360 ps3 or windows pc,1.0,13.5,5.0,1.25
175,sony,dsctx100v,sony cyber-shot dsc-tx100v 16mp sleek camera silver w 4x optical zoom hd movie capture 3.5  lcd w 50 bonus prints,348.0,3.5  oled touch screen  1080 60p resolution  16.2 megapixels,0.85,8.0,6.0,3.0
176,tribeca,fva2845,san diego chargers camera case,19.99,capture that special moment and slip your camera in this san diego chargers camera case before the next big play. made of high quality nylon the case features a stash pocket on the front to hold your memory cards and accessories.,0.0,0,0,0
177,iosafe,pa70750u1yr,iosafe rugged 750gb usb 3.0 portable external hard drive,139.98,storage capacity 750gb usb 3.0 1 year of data recovery services,1.0,10.0,8.0,3.0
178,human toolz,3n1ndt,human toolz 3-in-1 laptop pad designer tan,9.88,microfiber top surface non-slip natural rubber bottom protected with the aegis microbe shield,0.18,10.8,6.3,0.04
179,jvc,has160s,jvc flats lightweight folding headphones silver,36.88,powerful 30mm neodymium driver unit soft ear pads for ideal sound isolation stainless steel headband,2.01,8.75,6.25,1.3
180,compucessory,ccs59224,compucessory compucessory foldable noise canceling headphones black,52.99,foldable noise-canceling headphones are lightweight. extendable headband offers long-wearing comfort. travel-fold design maximizes compact portability. headphones include an airline adapter for traveling. power source is one aaa battery. headphones offer a 30mm drive and 20-20khz frequency response. include battery carry pouch 3.5mm and 2.5mm l-plug. -foldable noise canceling headphone.-30mm drive.-black silver.,0.02,0,0,0
181,fellowes,90659,fellowes vinyl cd dvd sleeves 50-pack,10.88,,0.56,7.0,5.12,1.2
182,amzer,90805,amzer 10  neoprene reversible sleeve carry case ebony black sea green,16.88,smooth non-scratch lining interior keeps your netbook always new made of durable material horizontal exotic pouch perfectly protects your laptop,9.0,14.0,11.0,8.0
183,targus,thz053us,targus zierra case for blackberry playbook tablet black,55.88,designed specifically to protect the blackberry playbook top grain leather exterior soft interior is scratch-resistant,0.72,8.27,6.09,1.17
184,startech,atx2power430,startech 430w atx12v 2.3 80 plus computer power supply active pfc,60.0,full support for intel and amd systems four 12v rails built to atx12v 2.3 standards,4.28,9.13,7.87,3.86
185,tribeca,fva4450,los angeles dodgers pink iphone 4 hard case,29.99,give your iphone some team flavor with the los angeles dodgers pink iphone 4 hard case features a durable hard shell and a high quality logo that won t rub off or fade.,0.0,0,0,0
186,case logic,56349,case logic 30 capacity cd case,15.99,case logic 30 capacity cd case portable case with adjustable shoulder strap allows you to transport 30 cds in jewel boxes. portable case allows you to transport 30 cds in their jewel boxes made of durable nylon with thick foam padding for maximum protection adjustable shoulder strap for easy portability available in latin america us,1.94,11.22,8.86,5.91
187,fellowes,49106,fellowes 55-piece computer maintenance tool kit,43.88,includes assorted screwdrivers drivers bits and pliers.,2.54,13.25,7.0,1.5
188,kingston,kvr1333d3ls4r9s2g,kingston valueram 2gb ddr3 sdram desktop memory module,63.88,memory size 2gb memory speed 1333mhz form factor 240-pin dimm,0.05,6.25,2.25,0.5
189,middle atlantic,usckl,middle atlantic remote control switch,80.99,the control switches provide remote up down sequence initiation. status led indicators can connect to our sequencing controllers. remote wallplate keyswitch with led status indicators.,0.55,0,0,0
190,ultralast,ulgtravel,ultralast green travel charger with 2 aa green batteries,20.88,compact collapsible and ready to go charges 2 aa batteries at a time mini and micro usb inputs includes ac wall charger and 2 aa green rechargeable batteries,1.5,10.0,6.5,2.5
191,panasonic,kxfa136,panasonic replacement film rolls,42.84,panasonic 100 meter film roll 2-pack works for the following models kx-fm205 210 220 260 280 kx-fmc230 kx-fp195 200 245 250 270,1.64,9.25,4.75,2.0
192,d-link,dkvm8e,d-link dkvm-8e 8- port kvm switch,179.82,8-port kvm switch  osd provides friendly interface and advanced security    make this switch easy to manage,10.05,16.14,6.5,1.85
193,epson,s041595,epson s041595 photographic papers,69.88,white matte photo paper  for use with inkjet printers  1 roll - 24  x 100,9.84,23.18,5.4,5.4
194,epson,s041378,epson s041378 photographic papers,59.88,high gloss photo paper  for use with inkjet printers  ideal for vivid life-like images,2.7,11.7,3.38,3.38
195,team pro mark,msnf25,san diego chargers pro grip mouse,26.99,add some style to your desktop with this nfl licensed optical usb mouse features 3 buttons a scroll wheel football styling and domed team logo. the mouse is desktop and notebook compatible with 800 dpi resolution.,0.0,0,0,0
196,vtech,ds6151,vtech ds6151 2-line expandable cordless phone with digital answering system caller id,62.51,dect 6.0 digital technology expandable up to 12 handsets interference free for clear conversations,1.4,9.0,5.45,4.7
197,draper,112018,draper matte white envoy electric screen  - ntsc 150 diagonal,1456.0,envoy electrically operated projection screen. designed for recessed installation above ceiling in conference and meeting rooms executive facilities and training centers. motor-in-roller with automatic ceiling closure that can easily be finished to match ceiling. features -motor-in-roller with automatic ceiling closure that can easily be finished to match ceiling..-the motor is mounted inside the roller on special vibration insulators..-with control options this projection screen can be operated from any remote location..-ntsc hdtv and widescreen format projection screens have black borders on all four sides..-depending on surface available in sizes through 12 x 12 and 15 ntsc..-custom sizes available.-warranted for one year against defects in materials and workmanship. screen material matte white the standard to which all other screen surfaces are compared. matt white vinyl reflective surface laminated to tear-resistant woven textile base. a matt white surface diffuses projected light in all directions so the image can be seen from any angle. provides accurate color rendition as well as superior clarity. recommended for use with all high light output projection devices. requires control of ambient light in the audience area. washable flame and mildew resistant. peak gain 1.0.,140.0,0,0,0
198,draper,115020,draper matte white rolleramic electric screen - av format 15 x 20,2989.99,rolleramic heavy-duty motorized projection screen. ideal for auditoriums and lecture halls hospitals hotels churches and other large venues. all-wood case may be recessed in the ceiling or painted to match its surroundings. end-mounted direct-drive motor sits on rubber vibration insulators minimizing friction and noise. features -with control options it can be operated from any remote location..-ntsc format screens have black borders on all four sides..-depending on surface available in sizes through 20 x 20 and 25 ntsc..-optionally available in hdtv and widescreen format..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material matte white the standard to which all other screen surfaces are compared. matt white vinyl reflective surface laminated to tear-resistant woven textile base. a matt white surface diffuses projected light in all directions so the image can be seen from any angle. provides accurate color rendition as well as superior clarity. recommended for use with all high light output projection devices. requires control of ambient light in the audience area. washable flame and mildew resistant. peak gain 1.0.,377.0,0,0,0
199,draper,104191,draper high contrast grey access series e electric screen  - widescreen 120 diagonal,1517.95,the access series e. motorized ceiling-recessed projection screen. sleek white extruded aluminum case installs above ceiling. trim flange finishes the ceiling opening. viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later date. features -now available in 16 10 and 15 9 laptop presentation formats.-install an access case first and the screen later..-motor-in-roller assures quiet and smooth operation..-depending on surface available in sizes through 12 x 12 and 200 ntsc..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material high contrast grey grey textile backed surface offers excellent resolution while enhancing the blacks of lcd and dlp projected images even as whites and lighter colors are maintained. performs well in ambient light condition. high contrast grey s lower gain of 0.8 allows use with even the brightest projectors viewing cone of 180 . available on most non-tensioned motorized and manual screens seamless in sizes up to 8  in height. peak gain of 0.8.,100.0,0,0,0
200,simplism,trscipadbren,simplism silicone case set ipad brown,33.0,four feet keep ipad in place direct access to all controls includes micro fiber cleaning cloth,0.2,12.0,12.0,9.0
201,draper,253019,draper m1300 shadowbox clarion fixed frame screen - 161 diagonal hdtv format,1348.99,viewing surface snaps to the back of a 1-1 2 extruded aluminum frame with a black powder coat finish. the frame is visible and serves as a black border around the perimeter of the image area. features -add optional velvety black textile vel-tex to eliminate reflections on frame..-surface is stretched taut providing a flat viewing surface with a trim finished appearance..-depending on surface available in sizes through 10 x 10 or 15 ntsc..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material m1300 the perfect matt white diffusing surface. extremely broad light dispersion and spectral uniformity. panoramic viewing angle and true color rendition. recommended for use with any type of projector in rooms where the light level can be reasonably controlled. washable,55.0,0,0,0
202,seagate,9zf2a2570,seagate freeagent goflex 500gb usb 2.0 ultra-portable hard drive black,71.07,capacity 500gb interface usb 2.0 color black,0.62,4.39,3.19,0.57
203,boss,655ck,boss mp3 cd receiver speaker package system,78.0,cd cd-r rw mp3 playback  output power 4 x 50w  includes front panel auxiliary input mounting hardware and wireless remote,8.0,7.2,6.2,2.0
204,sharpie,,sharpie pen retractable fine point pens black set of 2,5.88,durable tip permanent ink won t bleed or smear,0.0,0,0,0
205,bic,pmr11red,bic mark-it retractable permanent marker fine red 1-dozen,12.49,red ink seal guard defends against dry out marks on glass metal plastics photos foils and more,0.4,6.0,2.75,1.63
206,canon,1904v566,cleaning cards for canon cr-series check scanners,29.88,removes endorsement ink residue paper flash and other debris cleans reading units feed rollers micr read head and pathways,0.6,9.5,6.0,2.5
207,memorex,32020403,memorex white matte cd label refills - 300 pack,29.54,,4.13,12.5,9.5,1.5
208,avery,68080,avery design edge presentation view binder 1  capacity,7.47,1  capacity gap free feature,1.042,0,0,0
209,maccase,155623,maccase premium leather 17  macbook pro flight jacket w backpack option,191.96,maccase premium leather 17  the pinnacle of apple portable protection,1.5,16.5,12.0,1.0
210,link depot,fan80bk,link depot 80mm led computer case fan black,3.98,4 led design very bright quiet operation noise level 33.23 dba,0.7,7.0,4.5,1.5
211,honest technology,vdd5m,honestech vhs to dvd 5.0 deluxe for pc,64.98,easy wizard-mode for beginners transfer your video to dvd or blu-ray disc with one click step-by-step pictorial instructions guide you through the process,0.7,7.6,5.4,2.3
212,avery,2160,avery laser inkjet mailing labels mini-sheet 1 x 2-5 8 white 200 pack,7.62,works with most printers mini-sheets easy to use,0.327,0,0,0
213,pc treasures,7188,pc treasures external dvd-rw drive purple,57.74,lg hitachi drive mechanism smart-burn for optimum disc-burning usb-powered,1.0,6.0,6.0,1.0
214,rayovac,a16046ctd,rayovac alkaline 9 volt batteries 6ct,9.97,,0.62,15.74,11.74,11.35
215,da-lite,93154,da-lite high contrast matte white model b manual screen - 60 x 60 av format,92.99,features -perfect for classroom and meeting room facilities..-easy pull-down system locks at intervals to fit a variety of projection formats.-nylon bearings provide smooth quiet operation for the life of the screen..-case design allows for hanging from a ceiling or flush mounting to a wall..-pull cord included.. screen material high contrast matte white designed for moderate output dlp and lcd projectors. this screen surface is a great choice when video images are the main source of information being projected and where ambient light is moderately controlled. with its specially designed gray base material and reflective top surface this screen material is able to provide very good black levels without sacrificing the white level output. flame retardant and mildew resistant. viewing angle 50  gain 1.1,13.0,0,0,0
216,buffalo technology,hdpxt1tu2b,buffalo technology ministation metro 1 tb usb 2.0 portable external hard drive with integrated flex cable encryption and turbopc hd-pxt1tu2 b black,99.82,shock absorbers surround the hard disk protecting it from damage removable integrated usb cable snaps to chassis for pack-and-go-portability optional 256-bit aes full disk encryption,0.95,8.8,6.1,1.9
217,t-mobile,12898,email delivery t-mobile 10 prepaid pass for mobile broadband service,10.0,10 mobile broadband 7 days 100mb of usage,1.0,1.0,1.0,1.0
218,imation,27860,imation 32gb pocket flash drive,77.21,compact design easily slips into your pocket or onto a keychain no software installation required quick-release neck strap,1.4,10.9,5.4,4.0
219,griffin technology,gb01967,griffin technology outfit gloss ipod touch 4g black,24.99,snaps on for slim secure fit easy access to multi-touch display ports and controls included microstand,0.12,6.89,4.13,0.79
220,microsoft,d5d00052,microsoft wireless mobile mouse 4000 sgkomen pink,20.0,nano transceiver 4-way scrolling 4 customizable buttons,0.5,8.0,5.63,2.76
221,acer,lx.tyv03.021,acer black 14  travelmate tm8472-7254 laptop pc with intel i5-560m processor and windows 7 professional,638.0,intel i5-560m processor 4gb memory 320gb hard drive 14.0  high-brightness tft lcd display webcam 5-in-1 card reader wi-fi windows 7 professional,8.0,18.0,11.8,3.4
222,targus,tgkfr300,targus red tgk-fr300 digital camera starter kit,18.98,great accessory kit for your new digital camera 7  compact and lightweight tripod usb 2.0 card reader is compatible with 32 different types of cards,0.65,9.0,6.75,2.75
223,uniden,1360bk,uniden 1360bk desktop corded phone with caller id black,23.98,4 handset volume levels 8 base speaker levels hi-lo ringer,3.0,9.0,8.25,4.0
224,at t,cl80111,cl80111 at t accessory handset,21.88,compatible with cl83201 high contrast white backlight choose from 4 preset profiles,4.36,7.0,6.0,4.0
225,middle atlantic,br1,middle atlantic drk series cable management brush grommel panel,35.99,features -panels provide a clean organized cable entry method when used in conjunction with any work surface -built-in cable management tray -available in 1u 1-3 4 h or 2u 3-1 2 h space versions note 2 space brush grommet panel fits in opening on all mw series top options,1.0,0,0,0
226,cables unlimited,pcm224003,cables unlimited 3 svga video cable hdb15 male to male with 3.5mm audio,11.88,molded svga and stereo audio in a single cable cable runs up to 100 without a booster 3 internal coax cables for red green and blue,0.45,7.5,5.5,0.5
227,tribeca,fva3955,los angeles angels of anaheim iphone 4 case silicone cover,24.99,this los angeles angels of anaheim iphone 4 case silicone skin is made of durable silicone and feels as good as it looks. the logo is laser  screen officially licensed by mlb,0.0,0,0,0
228,solo,4br,solo cup company 4 ounce paper water cups 200ct,4.29,,25.0,20.1,15.1,12.9
229,comprehensive,hd15p,comprehensive high density15-pin vga male metal connector with hood set of 25,69.0,comprehensive premium high density 15 pin plug with metal hood video computer connector. these high density male metal connectors include the hood as well as the comprehensive lifetime warranty. comprehensive offers a lifetime warranty on all products,0.1,0,0,0
230,wacom tech corp.,ptk640,wacom ptk640 intuos4 medium pen graphics tablet,372.88,48.5 square inch work area  8 express keys  powered by usb port,5.0,14.5,10.0,0.5
231,startech,slsataf20,startech.com slsataf20 20in slimline sata male to sata cable,9.88,connector on the first end 1 x 7-pin serial ata female  connector on the second end 1 x sata female  connector on the second end 1 x lp4 male,0.09,7.0,2.3,0.99
232,edge tech,pe222604,edge 16gb sdhc hd video card class 6,38.84,capacity 16gb stores 10 664 pictures 16 hours of video or 4 000 mp3s minimum data transfer rate of 6mbps,0.25,9.0,6.0,3.0
233,iluv,icm20blk,iluv 3mp premium sliding door usb webcam,52.82,sliding lens cover 1.3 megapixel sensor resolution voip call chat with a high-quality built-in microphone via skype google msn yahoo etc.,0.5,7.0,5.9,2.9
234,startech,usb2habmy3,startech 3 usb y cable for external hard drive,6.34,usb 2.0 compliant connectors 2 x usb a male 1 x mini-b male cable length 3,0.12,10.04,7.87,0.39
235,bankers box,,bankers box stor file dividerbox legal 15 x 24 x 10 white blue 12 per carton,129.99,corrugated box dividers create three 5 compartments so files won t fall over 85pct stronger than basic letter legal boxes. easy fastfold  one step set-up saves assembly time. deep locking lift-off lid stays in place for secure file storage. double bottom triple end double side construction. box type storage global product type file boxes-storage box style n a material s corrugated.product details -closure lift-off lid. -inner height 10 in. -box type storage. -stacking weight 700 lb. -post-consumer recycled content percent 59 pct. -inner width 15 in. -pre-consumer recycled content percent 6 pct. -inner depth 24 in. -handle hand holes. -strength extra. -global product type file boxes-storage. -material s corrugated. -color s blue white. -file size format legal. -total recycled content percent 65 pct. -product is in compliance with the governmental epa cpg standards for environmental friendly products..package includes 12 storage boxes and 12 lids.product is made of at least partially recycled materialgreen product contains 59pct post-consumer content contains 65pct total recycled content 100pct recyclable where available. please contact you local recycling facility.,33.2,0,0,0
236,avery,11907,avery worksaver big tab plastic dividers two slash pockets eight-tab assorted,5.88,50 more printing space than traditional tab dividers laser and inkjet compatible for 3-ring binders,0.517,0,0,0
237,ge,33282,ge rg6 coax cable 25,0.0,connects 2 video components equipped with f-type jacks cable length 25 color white,0.0,5.75,5.75,1.5
238,ge,73311,15 rg6 video cable white,0.0,for f type jacks 15 long color white,0.0,6.54,4.6,1.29
239,cocoon innovations,cpg25bk,cocoon innovations grid-it large organizer for binder black,19.99,for ipod iphone blackberry and other digital devices holds items firmly in place pocket for additional storage,0.5,11.0,8.75,0.25
240,netgear,wndr37av100nas,netgear wireless router for video and gaming,129.0,connect laptops printers or networked home theater devices dual band wireless for better connection dlna media server,2.25,11.25,10.0,2.0
241,samsung,e1920x,samsung 19  lcd monitor e1920x,115.0,19  diagonal lcd screen 50 000 1 dynamic contrast ratio 5 ms response time,9.92,20.0,15.0,7.0
242,hp,hp 7000nx,hp scanjet enterprise 7000nx document capture workstation,3179.82,600 dpi optical task speed up to 40 ppm,39.95,16.2,13.5,12.6
243,post-it,659yw,post-it notes original notes canary yellow,45.0,helps remind and organize sticks to most any surface sales benefit breast cancer research,3.19,0,0,0
244,ocz technologies,oczssd22vtxe90g,ocz technology vertex 2 90gb 2.5  sata ii solid state drive,179.98,maximum read speed up to 285mb s maximum write speed up to 275mb s compatible with windows xp vista 7 mac os x and linux,0.45,6.0,5.0,0.7
245,da-lite,82965,da-lite video spectra 1.5 model c manual screen - 7 x 9 av format,503.99,features -ideal for large size conference or training rooms..-permanently lubricated steel ball bearings combined with nylon bushings and heavy-duty spring assembly offers smooth operation even in demanding applications..-optional floating mounting brackets allow the model c to be mounted onto wall or ceiling studs and aligned left or right after installation by releasing two sets of screws..-pull cord included.. screen material video spectra 1.5 this screen surface is specially designed with a reflective coating which provides an increased amount of brightness with a moderately reduced viewing angle. the increased gain of this surface makes it suitable for environments where ambient lighting is uncontrollable and a projector with moderate light output is utilized. flame retardant and mildew resistant. viewing angle 35  gain 1.5,56.0,0,0,0
246,vizio,m470vt,vizio 47  ultra-slim m470vt,799.0,46.96  screen measured diagonally from corner to corner hdmi inputs 4 wall-mountable detachable base high brightness of 450cd m2 with 8-ms. response time,65.04,50.39,34.25,8.85
247,iluv,icc1112clr,iluv ipod nano 6g clear type protective film,11.88,easy installation protects lcd touch screen from fingerprints and smudges no sticky adhesive residue,0.1,7.0,3.8,0.7
248,symantec,symcd11445mc,symantec norton anti virus dual protection software mac,69.99,protects against trojan horses worms and bots secure and monitor your home network reduces scan time with smart scanning,0.3,9.8,7.6,2.1
249,razer,rz0100170500r3u1,razer lachesis gaming mouse,77.5,razer precision 3.5g laser sensor with 5600 dpi scroll wheel with 24 individual click positions 9 programmable hyperesponse buttons,1.05,8.7,6.3,2.7
250,solidtek,kb7070bu,solidtek keyboard with touch pad black,59.99,connector usb touch pad resolution 1 000 points per inch 100 keys,2.9,18.3,8.2,1.7
251,dixie,fm507,dixie heavy mediumweight plastic forks 100ct,3.79,,0.8079999999999999,9.532,6.345,1.532
252,samsung,bdc6500,samsung bd-c6500 blu-ray player   wifi- internet tv. download apps like blockbuster facebook youtube twitter flickr pandora and vudu. refurbished,109.0,full-hd 1080p resolution  connect to your favorite internet media with internet tv  access online content with bd live 2.0,5.4,16.9,8.8,1.7
253,aiptek,mzdv,aiptek mz-dv black camcorder w 3x optical zoom 2.4  lcd image stabilization,129.99,720 x 480 resolution video 3x optical zoom 2.7  lcd display,1.25,10.7,7.5,2.2
254,panasonic,rphje450w,panasonic ergofit inner ear headphones white rp-hje450-w,43.88,acoustic precision control system ergofit design for ultimate comfort and fit 3 pairs of soft earpads included s m l,1.0,6.7,2.9,1.1
255,tracfone,tflg500gp4dm,tracfone lg 500g p4 dm pda,29.88,1.3 megapixel camera video recorder full qwerty keyboard bluetooth wireless technology,6.6,10.2,7.1,1.3
256,iogear,gcs1734,iogear miniview extreme multimedia kvm and peripheral sharing switch,85.0,usb peripheral-sharing capabilities audio and microphone support and multi-platform support for mac sun usb and ps 2.,4.5,13.0,8.75,4.25
257,cyberpower,750,cyberpower 1250 joules 7 outlet surge protector,17.88,home office computer surge protector fully internet-ready with 1-in 2-out phone fax modem protection,1.6,14.5,7.0,2.0
258,case logic,56352,case logic 48 capacity heavy duty cd wallet,15.99,case logic 48 capacity heavy duty cd wallet heavy duty molded cd wallet holds 48 cds in patented prosleeve  pages. patented prosleeves  keep dirt away to prevent scratching of delicate cd surface durable molded outer case protects 48 cds or 24 with liner notes,1.64,11.81,6.89,1.97
259,motorola,56320,motorola ear-piece with boom microphone,14.88,compatible with all radios with ivox t5000 6000 7000 8500 9500 em1000 series,0.36,11.0,8.0,1.5
260,logitech,910001152,logitech g9x black tilt wheel usb wired laser gaming mouse,79.82,pointing device connectivity technology wired movement detection laser,1.35,8.5,8.0,3.0
