custom_id,brand,modelno,title,price,descr,dimensions,shipweight
223,Uniden,1360BK,Uniden 1360BK Desktop Corded Phone with Caller ID Black,23.98,4 handset volume levels 8 base speaker levels Hi-lo ringer,9.0 x 8.25 x 4.0 inches,3.0
224,AT T,CL80111,CL80111 AT T Accessory Handset,21.88,Compatible with CL83201 High Contrast White Backlight Choose from 4 preset profiles,7.0 x 6.0 x 4.0 inches,4.36
225,Middle Atlantic,BR1,Middle Atlantic DRK Series Cable Management Brush Grommel Panel,35.99,Features -Panels provide a clean organized cable entry method when used in conjunction with any work surface -Built-in cable management tray -Available in 1U 1-3 4 H or 2U 3-1 2 H space versions Note 2 space brush grommet panel fits in opening on all MW Series top options,,1.0
226,Cables Unlimited,PCM-2240-03,Cables Unlimited 3 SVGA Video Cable HDB15 Male to Male With 3.5mm Audio,11.88,Molded SVGA and stereo audio in a single cable Cable runs up to 100 without a booster 3 internal coax cables for red green and blue,7.5 x 5.5 x 0.5 inches,0.45
227,Tribeca,FVA3955,Los Angeles Angels of Anaheim iPhone 4 Case Silicone Cover,24.99,This Los Angeles Angels of Anaheim iPhone 4 Case Silicone Skin is made of durable silicone and feels as good as it looks. The logo is laser  screen Officially licensed by MLB,,
228,SOLO,4BR,SOLO Cup Company 4 Ounce Paper Water Cups 200ct,4.29,,20.1 x 15.1 x 12.9 inches,25.0
229,Comprehensive,HD15P,Comprehensive High Density15-Pin VGA Male Metal Connector with Hood Set of 25,69,Comprehensive premium high density 15 pin plug with metal hood video computer connector. These high density male metal connectors include the hood as well as the Comprehensive lifetime warranty. Comprehensive offers a lifetime warranty on all products,,0.1
230,Wacom Tech Corp.,PTK640,Wacom PTK640 Intuos4 Medium Pen Graphics Tablet,372.88,48.5 square inch work area  8 express keys  Powered by USB port,14.5 x 10.0 x 0.5 inches,5.0
231,StarTech,SLSATAF20,StarTech.com SLSATAF20 20in Slimline SATA Male to SATA Cable,9.88,Connector on the First End 1 x 7-pin Serial ATA female  Connector on the Second End 1 x SATA female  Connector on the Second End 1 x LP4 Male,7.0 x 2.3 x 0.99 inches,0.09
232,Edge Tech,PE222604,Edge 16GB SDHC HD Video Card Class 6,38.84,Capacity 16GB Stores 10 664 pictures 16 hours of video or 4 000 MP3s Minimum data transfer rate of 6Mbps,9.0 x 6.0 x 3.0 inches,0.25
233,iLuv,ICM20BLK,iLuv 3MP Premium Sliding Door USB Webcam,52.82,Sliding lens cover 1.3 megapixel sensor resolution VoIP call chat with a high-quality built-in microphone via Skype Google MSN Yahoo etc.,7.0 x 5.9 x 2.9 inches,0.5
234,StarTech,USB2HABMY3,Startech 3 USB Y Cable for External Hard Drive,6.34,USB 2.0 compliant Connectors 2 x USB A Male 1 x mini-B Male Cable Length 3,10.04 x 7.87 x 0.39 inches,0.12
235,BANKERS BOX,,BANKERS BOX Stor File DividerBox Legal 15 x 24 x 10 White Blue 12 per Carton,129.99,Corrugated box dividers create three 5 compartments so files won t fall over 85pct stronger than basic letter legal boxes. Easy FastFold  One Step Set-up saves assembly time. Deep locking lift-off lid stays in place for secure file storage. Double bottom triple end double side construction. Box Type Storage Global Product Type File Boxes-Storage Box Style N A Material s Corrugated.PRODUCT DETAILS -Closure Lift-Off Lid. -Inner Height 10 in. -Box Type Storage. -Stacking Weight 700 lb. -Post-Consumer Recycled Content Percent 59 pct. -Inner Width 15 in. -Pre-Consumer Recycled Content Percent 6 pct. -Inner Depth 24 in. -Handle Hand Holes. -Strength Extra. -Global Product Type File Boxes-Storage. -Material s Corrugated. -Color s Blue White. -File Size Format Legal. -Total Recycled Content Percent 65 pct. -Product is in compliance with the governmental EPA CPG standards for environmental friendly products..Package Includes 12 storage boxes and 12 lids.Product is made of at least partially recycled materialGreen Product Contains 59pct post-consumer content Contains 65pct total recycled content 100pct recyclable where available. Please contact you local recycling facility.,,33.2
236,Avery,11907,Avery Worksaver Big Tab Plastic Dividers Two Slash Pockets Eight-Tab Assorted,5.88,50 more printing space than traditional tab dividers Laser and inkjet compatible For 3-ring binders,,0.517
237,GE,33282,GE RG6 Coax Cable 25,0,Connects 2 video components equipped with F-type jacks Cable length 25 Color White,5.75 x 5.75 x 1.5 inches,
238,GE,73311,15 RG6 Video Cable White,0,For F type jacks 15 long Color white,6.54 x 4.6 x 1.29 inches,
239,COCOON INNOVATIONS,CPG25BK,Cocoon Innovations Grid-It Large Organizer for Binder Black,19.99,For iPod iPhone BlackBerry and other digital devices Holds items firmly in place Pocket for additional storage,11.0 x 8.75 x 0.25 inches,0.5
240,NETGEAR,WNDR37AV-100NAS,NETGEAR Wireless Router for Video and Gaming,129,Connect laptops printers or networked home theater devices Dual band wireless for better connection DLNA media server,11.25 x 10.0 x 2.0 inches,2.25
241,Samsung,E1920X,Samsung 19  LCD Monitor E1920X,115,19  diagonal LCD screen 50 000 1 dynamic contrast ratio 5 ms response time,20.0 x 15.0 x 7.0 inches,9.92
242,HP,HP 7000nx,HP Scanjet Enterprise 7000nx Document Capture Workstation,3179.82,600 dpi Optical Task Speed up to 40 ppm,16.2 x 13.5 x 12.6 inches,39.95
243,POST-IT,659YW,Post-it Notes Original Notes Canary Yellow,45,Helps remind and organize Sticks to most any surface Sales benefit breast cancer research,,3.19
244,OCZ Technologies,OCZSSD22VTXE90G,OCZ Technology Vertex 2 90GB 2.5  SATA II Solid State Drive,179.98,Maximum Read Speed Up to 285MB s Maximum Write Speed Up to 275MB s Compatible with Windows XP Vista 7 Mac OS X and Linux,6.0 x 5.0 x 0.7 inches,0.45
245,Da-Lite,82965,Da-Lite Video Spectra 1.5 Model C Manual Screen - 7 x 9 AV Format,503.99,Features -Ideal for large size conference or training rooms..-Permanently lubricated steel ball bearings combined with nylon bushings and heavy-duty spring assembly offers smooth operation even in demanding applications..-Optional Floating Mounting Brackets allow the Model C to be mounted onto wall or ceiling studs and aligned left or right after installation by releasing two sets of screws..-Pull cord included.. Screen Material Video Spectra 1.5 This screen surface is specially designed with a reflective coating which provides an increased amount of brightness with a moderately reduced viewing angle. The increased gain of this surface makes it suitable for environments where ambient lighting is uncontrollable and a projector with moderate light output is utilized. Flame retardant and mildew resistant. Viewing Angle 35  Gain 1.5,,56.0
246,Vizio,M470VT,VIZIO 47  Ultra-Slim M470VT,799,46.96  screen measured diagonally from corner to corner HDMI Inputs 4 Wall-mountable detachable base High brightness of 450cd m2 with 8-ms. response time,50.39 x 34.25 x 8.85 inches,65.04
247,iLuv,ICC1112CLR,iLuv iPod nano 6G Clear Type Protective Film,11.88,Easy installation Protects LCD touch screen from fingerprints and smudges No sticky adhesive residue,7.0 x 3.8 x 0.7 inches,0.1
248,Symantec,SYMCD11445MC,Symantec Norton Anti Virus Dual Protection Software Mac,69.99,Protects against Trojan horses worms and bots Secure and monitor your home network Reduces scan time with smart scanning,9.8 x 7.6 x 2.1 inches,0.3
249,Razer,RZ01-00170500-R3U1,Razer Lachesis Gaming Mouse,77.5,Razer Precision 3.5G Laser sensor with 5600 dpi Scroll wheel with 24 individual click positions 9 programmable Hyperesponse buttons,8.7 x 6.3 x 2.7 inches,1.05
250,Solidtek,KB7070BU,Solidtek Keyboard with Touch Pad Black,59.99,Connector USB Touch Pad Resolution 1 000 points per inch 100 keys,18.3 x 8.2 x 1.7 inches,2.9
251,Dixie,FM507,Dixie Heavy Mediumweight Plastic Forks 100ct,3.79,,9.532 x 6.345 x 1.532 inches,0.808
252,Samsung,BD-C6500,Samsung BD-C6500 Blu-ray Player   WiFi- Internet TV. Download apps like BLOCKBUSTER Facebook YouTube Twitter Flickr Pandora and VUDU. Refurbished,109,Full-HD 1080p resolution  Connect to your favorite Internet media with Internet TV  Access online content with BD Live 2.0,16.9 x 8.8 x 1.7 inches,5.4
253,Aiptek,MZDV,Aiptek MZ-DV Black Camcorder w 3x Optical Zoom 2.4  LCD Image Stabilization,129.99,720 x 480 resolution video 3x optical zoom 2.7  LCD display,10.7 x 7.5 x 2.2 inches,1.25
254,Panasonic,RP-HJE450-W,Panasonic ErgoFit Inner Ear Headphones White RP-HJE450-W,43.88,Acoustic precision control system ErgoFit design for ultimate comfort and fit 3 pairs of soft earpads included S M L,6.7 x 2.9 x 1.1 inches,1.0
255,Tracfone,TFLG500GP4DM,Tracfone LG 500G P4 DM PDA,29.88,1.3 Megapixel camera video recorder Full QWERTY keyboard Bluetooth wireless technology,10.2 x 7.1 x 1.3 inches,6.6
256,IOGEAR,GCS1734,IOGear MiniView Extreme Multimedia KVM and Peripheral Sharing Switch,85,USB peripheral-sharing capabilities audio and microphone support and multi-platform support for Mac Sun USB and PS 2.,13.0 x 8.75 x 4.25 inches,4.5
257,CyberPower,750,CyberPower 1250 Joules 7 Outlet Surge Protector,17.88,Home Office Computer Surge Protector fully internet-ready with 1-in 2-out phone fax modem protection,14.5 x 7.0 x 2.0 inches,1.6
258,Case Logic,56352,Case Logic 48 Capacity Heavy Duty CD Wallet,15.99,Case Logic 48 Capacity Heavy Duty CD Wallet Heavy duty molded CD Wallet holds 48 CDs in patented ProSleeve  pages. Patented Prosleeves  keep dirt away to prevent scratching of delicate CD surface Durable molded outer case protects 48 CDs or 24 with liner notes,11.81 x 6.89 x 1.97 inches,1.64
259,Motorola,56320,Motorola Ear-Piece With Boom Microphone,14.88,Compatible with all radios with iVOX T5000 6000 7000 8500 9500 EM1000 series,11.0 x 8.0 x 1.5 inches,0.36
260,Logitech,910-001152,Logitech G9x Black Tilt Wheel USB Wired Laser Gaming Mouse,79.82,Pointing Device Connectivity Technology Wired Movement Detection Laser,8.5 x 8.0 x 3.0 inches,1.35
261,OKI,5.2102001E+07,Oki 52102001 Ribbon Black,14,Black Ink  Compatible with OKI Microline 184 Turbo IBM Parallel 184 Turbo Standard Parallel 184 Turbo Standard Serial 320 Turbo 320 Turbo DEC ANSI 320 Turbo w RS-232C Serial 320 Turbo with CSF 320 Turbo n 321 Turbo 321 Turbo DEC ANSI 321 Turbo with CSF 321 Turbo n 120 172 180 182 183 192 193 321 320 182 Plus 182 Turbo 192 Plus printers,,0.065
262,XEROX,108R00645,Xerox 108R00645 Imaging Unit For Phaser 6300 and 6350 Printer,244.84,Imaging Unit  Compatibility Xerox Phaser 6300 Printer Xerox Phaser 6350 Printer  Print Technology Laser,15.0 x 12.25 x 8.0 inches,8.4
263,Draper,241119,Draper Cineflex Ultimate Folding Replacement Surface Portable Screen - 9 x 12 NTSC Format,755,This Ultimate Folding Replacement Surface Screen is the first screen manufactured with 100pct CNC Computer Numerical Controlled components and assembly. The tubing is CNC machined surfaces and borders are CNC cut and even rivet and snap holes are CNC placed. No competitive product meets this new standard in portable folding screens.,,15.0
264,Draper,241102,Draper Cineflex Ultimate Folding Portable Screen with Heavy-Duty Legs - 133 diagonal HDTV Format,1195,This Ultimate Folding Screen is the first screen manufactured with 100pct CNC Computer Numerical Controlled components and assembly. The tubing is CNC machined surfaces and borders are CNC cut and even rivet and snap holes are CNC placed. Heavy-duty legs offer extra stability with an adjustable gusset. No competitive product meets this new standard in portable folding screens.,,88.0
265,Rubbermaid,25001,Rubbermaid Rotary Desk Organizer w Supplies Black,21.94,Durable Many compartments Easy access,,1.95
266,Sony,ALC-F62A,Sony 62mm Front Lens Cap,9,Protects lens from dust and scratches Material ABS For 62mm lenses,3.0 x 2.8 x 0.1 inches,0.1
267,Iomega,34945,Iomega eGo 500GB Helium Portable Hard Drive,78.98,Lightweight ultra-thin design Maximum portability High-speed USB 2.0 connection,7.1 x 5.2 x 2.3 inches,0.75
268,Southworth,PF8,Southworth 10pk Certificate Holder Navy,6.54,Heavyweight certificate holder Holds 8-1 2  certificates Pop-out tab for wall hanging,,0.543
269,SKB Cases,3SKB-X3426-16,SKB Cases RX Series Rugged Roto-X Shipping Foot Locker Case 18 1 2 H x 36 W x 28 D outside,614.99,Rotationally molded shipping containers stack securely for efficient transport and storage. Optional heavy-duty wheels for maximum mobility. Recessed heavy-duty twist latches will accommodate padlock. Spring-loaded handles are also recessed for protection. Features -Rotationally molded for maximum strength -Stack securely for efficient transport -Spring loaded 90  lifting handles -Available heavy-duty removable lockable caster kits -Heavy-duty twist latches will accommodate padlocks -There is no foam in this case Suggested Applications -Heavy equipment transport -Machine parts and military gear -Boat gear fishing equipment -Fire rescue and first aid equipment Dimensions -Lid Depth 3 -Base Depth 13 -Outside Dimensions 18 1 2 H x 36 W x 28 D -Inside Dimensions 16 H x 34 W x 26 D About SKB Cases In 1977 the first SKB case was manufactured in a small Anaheim California garage. Today SKB engineers provide cases for hundreds of companies involved in many diverse industries. We enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders. We never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow. We are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an SKB logo has been manufactured with an unconditional commitment to unsurpassed quality. The Million Mile Guaranty - Every SKB hardshell case is unconditionally guaranteed forever. That means IF YOU BREAK IT WE WILL REPAIR OR REPLACE IT AT NO COST TO YOU. SKB cases have been on the road since 1977 and have spent,34.0 x 26.0 x 16.0 inches,44.0
270,AT T,Aria,AT T - HTC Aria Smartphone Price with New 2-yr Contract,320,,9.57 x 6.1 x 2.75 inches,9.13
271,Avery,75537,Avery Economy Weight Sheet Protectors 100ct,11.52,Acid free and archival safe Reinforced binding edge anchors papers firmly Includes 100 protectors,12.0 x 9.813 x 1.0 inches,4.625
272,Avery,48363,Avery Eco Shipping Labels White 250-Count,9.46,Made of 100 percent recycled material Label paper is processed chlorine free For laser and inkjet printers,12.062 x 9.439 x 0.031 inches,0.7
273,Avery,16143,Avery Write-On Tabs 1.75 48-Count,3.54,Removable Won t smear Colors stand out,7.25 x 3.0 x 0.3 inches,0.05
274,Link Depot,C6M-5-GYB,Link Depot 5 Ethernet Enhanced CAT6 Networking Cable Gray,2.98,Category 6 enhanced 550 MHz TIA EIA 568B.2 UTP unshielded twisted pair,12.0 x 7.5 x 0.5 inches,0.75
275,Dymo,45018,DYMO D1 Standard Tape Cartridge for Dymo Label Makers 3 8in x 23ft Red on White,17.47,D1 high-performance polyester label cartridge Durable scratch- and chemical-resistant,,0.072
276,Ampad,21118,Ampad Evidence Glue Top Narrow Ruled Pads Ltr 50-Sheet Pads Pack Dozen,10.97,Glue-top style for easy sheet removal 12pk - 50 sheet pads pack Each pad measures 8-1 2,,5.274
277,Sony,VGPBKB1,Sony VGP-BKB1 Bluetooth Wireless Keyboard,97.15,Intelligent power management technology helps conserve battery life 2 AA batteries included provide up to 4 months of use Extended layout includes volume and navigation controls,19.0 x 5.5 x 2.0 inches,1.84
278,EP Memory,EPSDHC/32GB-4,ACP-EP Memory 32GB Class 4 SDHC Card,68.88,Capacity 32GB Data Transfer Rate 4Mbps Write protect switch prevents data loss,6.4 x 3.25 x 0.6 inches,0.5
279,Da-Lite,89939,Da-Lite HC Cinema Vision Tensioned Advantage Electrol - AV Format 8 x 8 diagonal,2595,Features -Same great design as our Advantage  Electrol  except screen is tensioned for an extra flat surface for optimum image quality when using video or data projection..-Tab guide cable system maintains even lateral tension to hold surface flat while custom slat bar with added weight maintains vertical tension..-Front projection surfaces standard with black backing for opacity..-Standard with a Decora style three position wall switch..- For easy installation the Tensioned Advantage  is available with SCB-100 and SCB-200 RS-232 serial control board Low Voltage Control unit Silent Motor or Silent Motor with Low Voltage Control built into the case..-UL Plenum Rated case..-Contains a 2 wide slot on the bottom of the case that the screen drops out of.. Screen Material High Contrast Cinema Vision Designed for today s moderate output DLP and LCD projectors this screen surface is a great choice when video images are the main source of information being projected and where ambient lighting is moderately controlled. With its specially designed gray base surface and a reflective top surface this screen material is able to provide very good black levels without sacrificing the white level output. With its enhanced black levels and brilliant white levels this screen surface provides deep life-like colors and greater detail and sharpness to the image. Screen surface can be cleaned with mild soap and water. Flame retardant and mildew resistant. Viewing Angle 50  Gain 1.1,,124.0
280,Archos,501594,Archos 10.1  Touchscreen EntertainmentTablet and eBook Reader with Google Android OS,279,10.1  TFT LCD capacitive multi-touch widescreen display  Android 2.2 Froyo OS  Includes standard USB cable quick start guide power charger,11.8 x 9.7 x 2.0 inches,16.0
281,Da-Lite,35199,Da-Lite Da-Tex Rear Tensioned Advantage Electrol - HDTV Format 184 diagonal,4612.99,Features -Same great design as our Advantage  Electrol  except screen is tensioned for an extra flat surface for optimum image quality when using video or data projection..-Tab guide cable system maintains even lateral tension to hold surface flat while custom slat bar with added weight maintains vertical tension..-Front projection surfaces standard with black backing for opacity..-Standard with a Decora style three position wall switch..- For easy installation the Tensioned Advantage  is available with SCB-100 and SCB-200 RS-232 serial control board Low Voltage Control unit Silent Motor or Silent Motor with Low Voltage Control built into the case..-UL Plenum Rated case..-Contains a 2 wide slot on the bottom of the case that the screen drops out of.. Screen Material Da-Tex Flexible Fabric Screen A translucent neutral gray vinyl fabric that allows rear projection in applications where a rigid acrylic or glass screen are not possible. This specially designed gray vinyl surface offers the same high transmission and low reflectance values as a rigid rear projection screen for optimal viewing. It yields excellent color rendition image contrast and a moderately wide viewing angle. Ideally suited for both lace and grommet and snap button type screens used in portable installations. This material requires tensioning due to its flexible nature. Screen surface can be cleaned with mild soap and water. Flame retardant and mildew resistant. Viewing Angle 30  Gain 1.3,,181.0
282,Nextware,JELPAD-BK,Nextware Jellybean Case for iPad Black,29.95,Smart custom fit for iPad protection Lightweight soft polymer plastic construction to prevent smudges Case provides shock absorption plus scratch protection,10.5 x 8.0 x 0.7 inches,0.55
283,PC Treasures,19457,PC Treasures 15.6  Laptop Kit Black,39,15.6  PocketPro case Wireless mouse with 800 dpi precision 4-port USB hub,18.5 x 12.75 x 3.5 inches,4.5
284,Tribeca,FVA3615,Tribeca Varsity Jacket Silicone Case for iPod Touch University of Florida,18.9,Fits 4th Generation iPod Touch Rugged silicone construction Easy access to ports,7.75 x 4.0 x 0.75 inches,0.9
285,NETGEAR,XAV5001100NAS,NETGEAR Powerline AV 500 Adapter,79.82,Up to 500Mbps Plug and play Push and Secure secures network with button,7.3 x 4.7 x 3.2 inches,0.88
286,Mustang,SC-F84W4:3,Mustang 84 Fixed Screen High Contrast in White,262.2,Features -Fixed wall mount screen. -Frame color Black. -Tubular aluminum frame. -Matte white high-contrast viewing surface optimizes the brilliant color palette of the projector. -Acoustically transparent screen permits speakers to be installed directly behind it. -Easily removable screen is machine washable. -High quality frame absorbs projector over scan . -Easy assembly. Specifications -Nominal diagonal size 84 . -Screen size 54 H x 70 W. -Viewing size 50 H x 66.5 W. -Aspect ratio 4 3 NTSC video. -Gain 0.9. For more information on this product please view the Sheet s below Specification Sheet,,12.0
287,MOTION SYSTEMS,IPAD01-BLK,Motion Systems IPAD01 Charlie iPad Sleeve Black,16.99,Sleeve design for convenient access Hard protective exterior Soft interior design,11.0 x 10.5 x 1.0 inches,0.1
288,Coby,MID8024-4G,Coby Kyros MID8024 8.1  Color Touchscreen Tablet PC,178,8.1  color SVGA touchscreen 800 x 600 resolution Android 2.2 OS Includes USB cable and protective case,8.11 x 6.22 x 0.55 inches,2.17
289,SIIG,JU-SA0D12-S1,SIIG Hi-Speed USB 2.0 eSATA Enclosure for 2.5  SATA Hard Disks,15.88,Quickly adds more storage space Portable compact and lightweight Connects to a USB 2.0 or eSATA port,10.2 x 7.6 x 5.4 inches,2.85
290,Scotch,DS520,Scotch Desktop Tape Dispenser Clear Black,11.94,1  core Weighted base for easy 1-handed dispensing Black base with clear acrylic top,,1.114
291,Simplism,TR-SHCSIPD2-WT/EN,Semi Hard Case Set for iPad 2 White,29.99,Durable TPU case for iPad 2 with a free potable stand Thin but tough  Direct access to all controls,11.5 x 9.4 x 1.1 inches,1.0
292,Belkin,F8E648,Belkin Mini CD Drive Cleaning Kit,7.82,For 3.5-inch mini CD drives effectively removes dust and debris,8.0 x 6.0 x 1.25 inches,0.12
293,Case Logic,120579,Case Logic Universal MP3 Sport Case- Medium,11.99,Case Logic Universal MP3 Sport Case- Medium   Universal sport armband compatible with small MP3 players like the iPod nano  Thin lycra cover and clear screen protector lets you change songs and view the screen without having to remove player Hidden storage pocket stores health club ID credit card money and or keys while working out One hand easy adjust armband eliminates unnecessary fumbling Not a fan of an armband Case easily slips over your hand for an alternate on the go option Headphone jack opening at bottom of case,4.0 x 3.5 x 0.75 inches,
294,Coby,CV121,Coby Deep Base Stereo Headphones CV121,8,High-performance 40mm drivers for deep base In-line volume control,9.76 x 7.09 x 3.03 inches,0.25
295,SIIG,JU-MR0012-S1,SIIG USB 2.0 Bay Media Card Reader,16.82,All-in-one drive bay design provides easy access to different types of memory cards  Plug and Play with Windows and Mac no drivers needed,8.75 x 6.75 x 2.0 inches,0.5
296,Case Logic,117505,Case Logic 14.1  Laptop Sleeve,17.59,Case Logic 14.1  display see internal dimensions below Durable neoprene sleeve cushions and protects your computer Slimline design protects laptop on its own or in your favorite bag Asymmetrical zipper provides easy access to your laptop Available in Asia Pacific Canada Europe US,15.0 x 11.25 x 1.75 inches,0.83
297,Belkin,F8N132-BLK,Belkin 10.2  Netbook Neoprene Sleeve - Black,8.88,Durable Weather-resistant  Neoprene cushions and protects your computer,11.22 x 8.07 x 1.57 inches,0.54
298,Plantronics,GAMECOM 367,Plantronics GameCom 367 Closed-Ear Gaming Headset,24.84,Closed-ear headset delivers an immersive audio experience Concealed mic boom stays hidden until needed Specially designed earpods redistribute pressure for maximum comfort Rugged military-like design and extra-strength cables,12.0 x 9.625 x 4.813 inches,1.13
299,AT T,Focus,AT  Touch Screen Price with New 2-yr Contract,330,The Samsung Focus is a super sleek Windows Phone 7 bar phone with a brilliant 4  super AMOLED display.,3.9 x 2.4 x 0.7 inches,1.2
300,Microsoft,APB-00001,Microsoft APB-00001 Wired Desktop 600 Keyboard and Mouse,25.84,Cable mouse and keyboard  USB connection  Optical movement detection,21.7 x 7.0 x 1.9 inches,2.15
301,Draper,230124,Draper Glass Beaded Traveller Portable Screen - 73 diagonal HDTV Format,352.99,The ultimate portable projection screen. Kind to your back and kind to your billfold. Being self-contained in an extruded aluminum case makes transporting this case easy. Telescoping support twist locks to position the screen at your desired height. Standard surface specifically designed for today s computer presentations and high resolution requirements. Features -Durable -Easy to carry -Built-in carrying handle -Shoulder carrying strap included -Clean simplified design -Lightweight -Includes 3 4 black borders and 42 black rise -Warranted for one year against defects in mateials and workmanship Need mounting brackets carrying cases or other screen accessories Shop our selection - call us with any questions View All Screen Accessories,,24.0
302,Draper,127152,Draper DiamondScreen Rear Projection Screen with No Frame - 190 diagonal NTSC Format,70416.5,The first rear projection screen designed specifically for video and data projection this screen is well suited for most A V applications except those with large vertical viewing cones. This rear screen delivers a brilliant image and unlike most conventional rear screens the DiamondScreen is cast molded and derives its incredible optical performance from its patented Fresnel lenticular lens system. With its superior center-to-corner brightness ratio this is the world s most sophisticated most efficient rear projection screen.,,900.0
303,Quartet,,Quartet ShowIt Three-Panel Display System Fabric Blue Gray Black PVC Frame,222.29,Fast and easy Have a display ready in minutes. Remove the lightweight trifold panels from the included carrying bag unfold and place on floor or tabletop. Fabric panels accept Velcro  fasteners or push pins. Duralite construction with PVC frame. Header Panel sold separately. Each panel 24w x 36h. Board Type Display Global Product Type Boards Board Width 72 in Board Height 36 in.PRODUCT DETAILS -Frame Material PVC. -Board Type Display. -Surface Color Blue Gray. -For Use With Header Panel APOSB93501. -Global Product Type Boards. -Boards Special Features Three-Panel Display System. -Board Width 72 in. -Surface Material Fabric. -Frame Color Black. -Board Height 36 in. Package Includes three-panel display system and travel bag.,,12.75
304,Inland,8521,Inland Pro iPhone and iPod 3-in-1 Charging Kit,9.84,For iPods with dock connector LED power indicator Includes USB charger car adapter and wall adapter,9.3 x 5.8 x 2.3 inches,0.31
305,Endust,11384,Endust 10 oz Air Duster with Bitterant,7.95,Removes dust and lint from hard-to-reach places Includes extension tube for pinpoint cleaning,8.5 x 2.5 x 2.5 inches,1.0
306,V7,V7N3C5E-10F-BLUS,V7 10 CAT5e Snagless Network Patch Cable Blue,4.88,Provides a durable and solid connection Molded connector boots provide strain relief Used to access high-speed networks and the Internet,10.0 x 8.0 x 1.0 inches,0.3
307,Boss,,Boss Audio CH6CK - CHAOS EXTREME 350 Watt 6.5  Component Car Speakers - PAIR,43,2 6.5  midranges with speaker grills 2 1  polymide dome tweeters 2 passive crossovers networks,,
308,NEC,EA221WM-BK,NEC 22  LCD Monitor Black EA221WM-BK,249,22  flat-panel LCD 16 10 aspect ratio 1680 x 1050 resolution Integrated USB 2.0 hub,23.0 x 19.5 x 10.75 inches,21.05
309,Link Depot,C6M-7-RDB,Link Depot 7 Ethernet Enhanced CAT6 Networking Cable Red,2.98,Category 6 enhanced 550 MHz TIA EIA 568B.2 UTP unshielded twisted pair,12.0 x 7.5 x 0.5 inches,0.8
310,Lenovo,41U5254,Lenovo Performance Back Pack,31.51,Fits ThinkPad and Lenovo laptops up to 15.6  wide Front bungee system to stash bicycle helmet newspaper or jacket Mesh water bottle pockets on the sides,18.3 x 14.5 x 4.5 inches,1.6
311,Logitech,C270H,Logitech USB Webcam C270H,29,HD 720p video calls 3 megapixel photos Built-in microphone with RightSound,8.251 x 6.0 x 3.251 inches,0.9
312,Rubbermaid Commercial,253100BK,Rubbermaid Commercial Lobby Pro Upright Black Polypropylene With Vinyl Coat Dustpan With Wheels,25.97,,28.8 x 12.8 x 5.2 inches,2.167
313,Vantec,UGT-IS602R,Vantec 2 1 SATA 6G And PATA PCI-E Combo Host Card w RAID,40.33,PCI-Express 2.0 x 1 Compatible with PCI-Express 1.0 Supports communication speeds of 6.0Gbps 3.0Gbps and 1.5Gbps Hot plug and hot swap,8.0 x 6.0 x 2.0 inches,1.2
314,Sabrent,VD-VS2P,Sabrent 2-Port VGA High Resolution Video Splitter,24.88,Duplicate and enhance video on 2 monitors Allows 1 computer to provide simultaneous displays on 2 different monitors Works with VGA SVGA and Multisync monitors,10.0 x 8.0 x 2.8 inches,1.1
315,Fellowes,FEL40912,Fellowes Mfg. Co. Wire Mail Cart 150-Folder Capacity 18 x 38-1 2 x 39-1 4 Chrome Plated,337.49,Top basket sorts by letter or legal size hanging folders. Bottom basket for bulk mail or packages. Heavy-duty steel wire and tubing frame. Cart Type Shelf Cart Global Product Type Carts Stand Type N A Cart Capacity N A.PRODUCT DETAILS -Caster Glide Wheel Type Front Swivel Casters Rear Wheels. -For Use With Folders Packages. -gl08 4 in 10 in. -Post-Consumer Recycled Content Percent 0 pct. -Pre-Consumer Recycled Content Percent 0 pct. -Width 18 in. -Height 39 1 4 in. -Global Product Type Carts. -Material s Heavy-Duty Chrome Plated Steel Wire Tubing. -Depth 38 1 2 in. -Color s Chrome. -Cart Type Shelf Cart. -Total Recycled Content Percent 0 pct. Extra Assembly Required,39.25 x 38.5 x 18.0 inches,41.0
316,PNY,P-FDU8GBSL-EF/SIL,PNY 8GB Micro Slide Attache USB Flash Drive - Silver,14.84,Compatible with most PC MAC laptop and desktop computers with available USB 2.0 port Backwards compatible to USB 1.0,6.75 x 5.0 x 0.5 inches,0.05
317,Vivitar,SC-OLM,Vivitar Universal Battery Charger for Olympus Batteries,15.94,Charges a number of Olympus rechargeable lithium ion batteries Perfect for families Great for owners of multiple Olympus cameras,8.25 x 6.2 x 2.25 inches,1.2
318,SIIG,CE-MT0E12-S1,SIIG Headrest iPad Car Mount,40.88,Quickly and securely installs with any headrests Open design for access to ports and buttons Adjustable mounting arms,10.4 x 7.0 x 3.1 inches,0.6
319,General Electric,52083,GE 8  Cable Ties Clear,0,Prevents wires from tangling Comes in a pack of 20,8.22 x 0.88 x 0.66 inches,
320,Toshiba,DVR670,Toshiba DVR670 DVD VHS Recorder with Built-in Tuner,214,Built-in ATSC NTSC QAM digital analog tuner Multi-format recording and playback Video upconversion up to 1080p,17.13 x 10.55 x 3.92 inches,12.32
