"id","title","authors","venue","year"
"conf/sigmod/RundensteinerCLCZNJLW99","serf: odmg-based generic re-structuring facility","stacia de lima, li chen, ming li, s. weiner, chandrakant natarajan, elke a. rundensteiner, xin zhang, kajal t. claypool, jing jin","sigmod conference",1999
"journals/tods/LiuHD98","multiview access protocols for large-scale replication","weimin du, xiangning liu, abdelsalam helal","acm trans. database syst.",1998
"conf/vldb/SeshadriLR97","the case for enhanced abstract data types","raghu ramakrishnan, miron livny, praveen seshadri","vldb",1997
"conf/sigmod/IpeirotisGS01","probe, count, and classify: categorizing hidden web databases","mehran sahami, panagiotis g. ipeirotis, luis gravano","sigmod conference",2001
"conf/vldb/VermeerA96","the role of integrity constraints in database interoperation","peter m. g. apers, mark w. w. vermeer","vldb",1996
"conf/vldb/CiacciaPZ97","m-tree: an efficient access method for similarity search in metric spaces","paolo ciaccia, pavel zezula, marco patella","vldb",1997
"journals/vldb/MehtaGPN98","the oodb path-method generator (pmg) using access weights and precomputed access relevance","james geller, ashish mehta, erich j. neuhold, yehoshua perl","vldb j.",1998
"journals/sigmod/VetterliVS00","metadata standards for data warehousing: open information model vs. common warehouse metamodel","anca vaduva, thomas vetterli, martin staudt","sigmod record",2000
"journals/sigmod/BunemanLSTW94","comprehension syntax","limsoon wong, dan suciu, val tannen, peter buneman, leonid libkin","sigmod record",1994
"conf/sigmod/FaloutsosRM94","fast subsequence matching in time-series databases","m. ranganathan, christos faloutsos, yannis manolopoulos","sigmod conference",1994
"conf/sigmod/Al-KhalifaYJ03","querying structured text in an xml database","h. v. jagadish, shurug al-khalifa, cong yu","sigmod conference",2003
"conf/vldb/BratsbergH01","online scaling in a highly available database","svein erik bratsberg, rune humborstad","vldb",2001
"conf/sigmod/VitterW99","approximate computation of multidimensional aggregates of sparse data using wavelets","min wang, jeffrey scott vitter","sigmod conference",1999
"conf/vldb/Draluk01","discovering web services: an overview","vadim draluk","vldb",2001
"conf/sigmod/BhattacharyaMBNHS02","coordinating backup/recovery and data consistency between database and file systems","c. mohan, inderpal narang, suparna bhattacharya, karen brannon, hui-i hsiao, mahadevan subramanian","sigmod conference",2002
"journals/sigmod/Snodgrass97","chair's message","richard t. snodgrass","sigmod record",1997
"conf/vldb/HvasshovdBT00","an ultra highly available dbms","svein-olaf hvasshovd, svein erik bratsberg, ?ystein torbj?rnsen","vldb",2000
"conf/vldb/DittrichSTW02","progressive merge join: a generic and non-blocking sort-based join algorithm","jens-peter dittrich, peter widmayer, david scot taylor, bernhard seeger","vldb",2002
"conf/sigmod/MumickP94","implementation of magic-sets in a relational database system","inderpal singh mumick, hamid pirahesh","sigmod conference",1994
"journals/vldb/MaedcheMS03","managing multiple and distributed ontologies on the semantic web","boris motik, alexander maedche, ljiljana stojanovic","vldb j.",2003
"conf/sigmod/AggarwalY01","outlier detection for high dimensional data","charu c. aggarwal, philip s. yu","sigmod conference",2001
"journals/vldb/AnGSVKI02","energy-performance trade-offs for spatial access methods on memory-resident data","mahmut t. kandemir, ning an, mary jane irwin, anand sivasubramaniam, sudhanva gurumurthi, narayanan vijaykrishnan","vldb j.",2002
"journals/tods/ChenHM95","an execution model for limited ambiguity rules and its application to derived data update","i-min a. chen, dennis mcleod, richard hull","acm trans. database syst.",1995
"conf/vldb/ArionBCDMP03","xquec: pushing queries to compressed xml data","ioana manolescu, gianni costa, andrei arion, andrea pugliese, angela bonifati, sandra d'aguanno","vldb",2003
"conf/vldb/ZhangL97","dynamic memory adjustment for external mergesort","weiye zhang, per-?ke larson","vldb",1997
"conf/sigmod/Whelan98","filenet integrated document management database usage and issues","daniel s. whelan","sigmod conference",1998
"conf/vldb/IyerW94","data compression support in databases","david wilhite, balakrishna r. iyer","vldb",1994
"journals/tods/DyresonS98","supporting valid-time indeterminacy","richard t. snodgrass, curtis e. dyreson","acm trans. database syst.",1998
"conf/vldb/Shmueli01","architectures for internal web services deployment","oded shmueli","vldb",2001
"conf/vldb/CareyK98","reducing the braking distance of an sql query engine","donald kossmann, michael j. carey","vldb",1998
"conf/sigmod/Dietterich94","dec data distributor: for data replication and data warehousing","daniel j. dietterich","sigmod conference",1994
"conf/sigmod/KimCK01","optimizing multidimensional index trees for main memory access","sang kyun cha, keunjoo kwon, kihong kim","sigmod conference",2001
"journals/sigmod/MukhopadhyayGS03","an approach to confidence based page ranking for user oriented web search","sanasam ranbir singh, debasis giri, debajyoti mukhopadhyay","sigmod record",2003
"conf/vldb/SeshadriLR96","the design and implementation of a sequence database system","raghu ramakrishnan, miron livny, praveen seshadri","vldb",1996
"conf/sigmod/FernandezS96","the ins and outs (and everthing in between) of data warehousing","donovan a. schneider, phillip m. fernandez","sigmod conference",1996
"journals/sigmod/ErdurD02","a multi-agent system infrastructure for software component market-place: an ontological perspective","riza cenk erdur, oguz dikenelli","sigmod record",2002
"journals/sigmod/RossHKRRSS01","reminiscences on influential papers","daniel j. rosenkrantz, nick koudas, dan suciu, peter scheuermann, rajeev rastogi, jiawei han, kenneth a. ross","sigmod record",2001
"conf/vldb/FlescaFM03","on the minimization of xpath queries","elio masciari, sergio flesca, filippo furfaro","vldb",2003
"conf/vldb/BaulierBGJGKKMMNNRSS98","datablitz: a high performance main-memory storage manager","p. p. s. narayan, s. joshi, m. nemeth, abraham silberschatz, henry f. korth, a. khivesera, jerry baulier, s. sudarshan, philip bohannon, peter mcilroy, j. miller, s. gogate, rajeev rastogi, c. gupta","vldb",1998
"conf/sigmod/WhiteCF98","enterprise java platform data access","seth j. white, r. g. g. cattell, sheldon j. finkelstein","sigmod conference",1998
"journals/vldb/AmielBDS96","type-safe relaxing of schema consistency rules for flexible modeling in oodbms","marie-jo bellosta, eric amiel, eric simon, eric dujardin","vldb j.",1996
"journals/vldb/ManegoldBK00","optimizing database architecture for the new bottleneck: memory access","peter a. boncz, stefan manegold, martin l. kersten","vldb j.",2000
"conf/vldb/MohaniaS94","some issues in design of distributed deductive databases","nandlal l. sarda, mukesh k. mohania","vldb",1994
"conf/sigmod/ColeG94","optimization of dynamic query evaluation plans","goetz graefe, richard l. cole","sigmod conference",1994
"conf/vldb/HuntAI01","a database index to large biological sequences","robert w. irving, ela hunt, malcolm p. atkinson","vldb",2001
"conf/sigmod/BerchtoldBBKK97","fast parallel similarity search in multimedia databases","christian b?hm, bernhard braunm?ller, hans-peter kriegel, daniel a. keim, stefan berchtold","sigmod conference",1997
"journals/vldb/HarrisR96","join algorithm costs revisited","kotagiri ramamohanarao, evan p. harris","vldb j.",1996
"conf/sigmod/ZhouR02","implementing database operations using simd instructions","kenneth a. ross, jingren zhou","sigmod conference",2002
"journals/sigmod/BarbaraS97","quasi-cubes: exploiting approximations in multidimensional databases","daniel barbar?, mark sullivan","sigmod record",1997
"journals/sigmod/GruenwaldBDGSSV99","database research at the university of oklahoma","sirirut vanichayobon, leonard brown, ravi a. dirckze, sylvain guinepain, carlos s?nchez, le gruenwald, brian summers","sigmod record",1999
"conf/vldb/SubietaKL95","procedures in object-oriented query languages","kazimierz subieta, jacek leszczylowski, yahiko kambayashi","vldb",1995
"journals/sigmod/Baeza-YatesN96","integrating contents and structure in text retrieval","gonzalo navarro, ricardo a. baeza-yates","sigmod record",1996
"conf/sigmod/Hellerstein94","practical predicate placement","joseph m. hellerstein","sigmod conference",1994
"journals/vldb/ChenHY97","on applying hash filters to improving the execution of multi-join queries","philip s. yu, ming-syan chen, hui-i hsiao","vldb j.",1997
"conf/sigmod/RundensteinerKRCJM96","the multiview project: object-oriented view technology and applications","young-gook ra, viviane crestana-taube, matthew c. jones, elke a. rundensteiner, pedro jos? marr?n, harumi a. kuno","sigmod conference",1996
"journals/vldb/FungKL03","cost-driven vertical class partitioning for methods in object oriented databases","qing li, chi-wai fung, kamalakar karlapalem","vldb j.",2003
"conf/sigmod/JagadishLMSV99","querying network directories","dimitra vista, h. v. jagadish, divesh srivastava, tova milo, laks v. s. lakshmanan","sigmod conference",1999
"conf/vldb/ArunJ98","koda - the architecture and interface of a data model independent kernel","gopalan arun, ashok joshi","vldb",1998
"conf/sigmod/CatarciS01","the prototype of the dare system","tiziana catarci, giuseppe santucci","sigmod conference",2001
"conf/sigmod/Aggarwal03","a framework for change diagnosis of data streams","charu c. aggarwal","sigmod conference",2003
"conf/vldb/WangC03","avoiding ordering and grouping in query processing","xiaoyu wang, mitch cherniack","vldb",2003
"conf/sigmod/ZaianeHLCC98","multimediaminer: a system prototype for multimedia data mining","jenny chiang, ze-nian li, osmar r. za?ane, sonny h. chee, jiawei han","sigmod conference",1998
"conf/sigmod/Wu99","query optimization for selections using bitmaps","ming-chuan wu","sigmod conference",1999
"journals/sigmod/Aberer02","book review column","karl aberer","sigmod record",2002
"journals/sigmod/RossFS02","reminiscences on influential papers","kenneth a. ross, kyuseok shim, mary f. fernandez","sigmod record",2002
"conf/vldb/KonopnickiS95","w3qs: a query system for the world-wide web","david konopnicki, oded shmueli","vldb",1995
"journals/sigmod/WinslettMY03","two-body job searches","marianne winslett, xiaosong ma, ting yu","sigmod record",2003
"conf/sigmod/DraperHW01","the nimble integration engine","daniel s. weld, alon y. halevy, denise draper","sigmod conference",2001
"conf/vldb/BouganimFV96","dynamic load balancing in hierarchical parallel database systems","luc bouganim, daniela florescu, patrick valduriez","vldb",1996
"journals/sigmod/Roussopoulos98","materialized views and data warehouses","nick roussopoulos","sigmod record",1998
"conf/sigmod/JagatheesanR03","data grid management systems","arun jagatheesan, arcot rajasekar","sigmod conference",2003
"journals/sigmod/SouzaS99","efficient materialization and use of views in data warehouses","m?rcio farias de souza, marcus costa sampaio","sigmod record",1999
"conf/vldb/Novaretti01","french government activity in the conservation of data and electronic documents","serge novaretti","vldb",2001
"conf/vldb/HelalL00","rainbow: distributed database system for classroom education and experimental research","abdelsalam helal, hua li","vldb",2000
"conf/vldb/Amer-YahiaCD98","bulk-loading techniques for object databases and an application to relational data","claude delobel, sophie cluet, sihem amer-yahia","vldb",1998
"conf/vldb/ZengBNN01","agflow: agent-based cross-enterprise workflow management system","boualem benatallah, anne h. h. ngu, phuong nguyen, liangzhao zeng","vldb",2001
"journals/sigmod/Kemper02","databases and transaction processing: an application-oriented approach - book review","alfons kemper","sigmod record",2002
"journals/vldb/RahmB01","a survey of approaches to automatic schema matching","philip a. bernstein, erhard rahm","vldb j.",2001
"conf/sigmod/ZuzartePMCLW03","winmagic : subquery elimination using window aggregation","qi cheng, hamid pirahesh, linqi liu, kwai wong, wenbin ma, calisto zuzarte","sigmod conference",2003
"conf/vldb/Objectivity98","objectivity industrial exhibit","objectivity","vldb",1998
"journals/sigmod/RafanelliBT96","the aggregate data problem: a system for their definition and management","leonardo tininini, antonia bezenchek, maurizio rafanelli","sigmod record",1996
"conf/sigmod/SagonasSW94a","xsb as a deductive database","terrance swift, konstantinos f. sagonas, david scott warren","sigmod conference",1994
"journals/sigmod/Stirling03","information rules","dale a. stirling","sigmod record",2003
"conf/sigmod/TheobaldW02","the xxl search engine: ranked retrieval of xml data using indexes and ontologies","anja theobald, gerhard weikum","sigmod conference",2002
"journals/sigmod/DiazJPa94","supporting dynamic displays using active rules","oscar d?az, arturo jaime, ghassan al-qaimari, norman w. paton","sigmod record",1994
"journals/sigmod/MusickM98","report on the second ieee metadata conference (metadata '97)","chris miller, ron musick","sigmod record",1998
"conf/vldb/LeeL99","unrolling cycles to decide trigger termination","tok wang ling, sin yeung lee","vldb",1999
"conf/vldb/ChangG97","effective memory use in a media server","edward y. chang, hector garcia-molina","vldb",1997
"conf/sigmod/BohrerBBCFHKKMNRRSUUW97","infosleuth: semantic integration of information in open and dynamic environments (experience paper)","gale martin, ray shea, tomasz ksiezyk, roberto j. bayardo jr., marian h. nodine, william bohrer, vipul kashyap, c. unnikrishnan, richard s. brice, mosfeq rashid, amy unruh, abdelsalam helal, andrzej cichocki, marek rusinkiewicz, darrell woelk, jerry fowler","sigmod conference",1997
"conf/sigmod/Team95b","shore: combining the best features of oodbms and file systems","shore team","sigmod conference",1995
"conf/vldb/IoannidisLGP96","zoo : a desktop experiment management environment","miron livny, yannis e. ioannidis, nagavamsi ponnekanti, shivani gupta","vldb",1996
"journals/sigmod/PitouraB95","a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases","bharat k. bhargava, evaggelia pitoura","sigmod record",1995
"conf/vldb/HaasNSS95","sampling-based estimation of the number of distinct values of an attribute","peter j. haas, lynne stokes, s. seshadri, jeffrey f. naughton","vldb",1995
"journals/sigmod/Franklin98a","editor's notes","michael j. franklin","sigmod record",1998
"conf/vldb/CowleyP00","temporal integrity constraints with indeterminacy","wes cowley, dimitris plexousakis","vldb",2000
"conf/sigmod/BuchmannDZH95","the reach active oodbms","alin deutsch, j?rgen zimmermann, m. higa, alejandro p. buchmann","sigmod conference",1995
"conf/vldb/BamfordBKM98","architecture of oracle parallel server","d. butler, boris klots, roger bamford, n. macnaughton","vldb",1998
"conf/vldb/Mohan96","dwms: data warehouse management system","narendra mohan","vldb",1996
"journals/sigmod/GalianoM03","review of data on the web: from relational to semistructured data and xml by serge abiteboul, peter buneman, and dan suciu. morgan kaufmann 1999","fernando berzal galiano, nicol?s mar?n","sigmod record",2003
"conf/vldb/IpeirotisG02","distributed search over the hidden web: hierarchical database sampling and selection","luis gravano, panagiotis g. ipeirotis","vldb",2002
"conf/sigmod/LamCKNH01","retina: a real-time traffic navigation system","edward chan, tei-wei kuo, s. w. ng, dick hung, kam-yiu lam","sigmod conference",2001
"conf/sigmod/BrinMS97","beyond market baskets: generalizing association rules to correlations","rajeev motwani, sergey brin, craig silverstein","sigmod conference",1997
"journals/vldb/FerrariAABC02","an authorization system for digital libraries","ugo capuozzo, elena ferrari, vijayalakshmi atluri, elisa bertino, nabil r. adam","vldb j.",2002
"conf/vldb/DavisonG94","memory-contention responsive hash joins","goetz graefe, diane l. davison","vldb",1994
"journals/sigmod/Chang03","a graphical query language for mobile information systems","ya-hui chang","sigmod record",2003
"conf/sigmod/BertinoCF01","securing xml documents: the author-x project demonstration","elisa bertino, elena ferrari, silvana castano","sigmod conference",2001
"conf/vldb/BernsteinHJRW00","panel: is generic metadata management feasible?","gio wiederhold, erhard rahm, matthias jarke, laura m. haas, philip a. bernstein","vldb",2000
"conf/vldb/EvangelidisLS95","the hbp-tree: a modified hb-tree supporting concurrency, recovery and node consolidation","georgios evangelidis, betty salzberg, david b. lomet","vldb",1995
"journals/vldb/ChakrabartiDAR98","scalable feature selection, classification and signature generation for organizing large text databases into hierarchical topic taxonomies","prabhakar raghavan, byron dom, rakesh agrawal, soumen chakrabarti","vldb j.",1998
"conf/sigmod/KabraD98","efficient mid-query re-optimization of sub-optimal query execution plans","david j. dewitt, navin kabra","sigmod conference",1998
"journals/sigmod/CruzKLSWY02","research activities in database management and information retrieval at the university of illinois at chicago","a. prasad sistla, isabel f. cruz, ashfaq a. khokhar, clement t. yu, bing liu, ouri wolfson","sigmod record",2002
"conf/sigmod/YangWYH02","mining long sequential patterns in a noisy environment","wei wang, philip s. yu, jiong yang, jiawei han","sigmod conference",2002
"conf/vldb/JagadishLS99","what can hierarchies do for data warehouses?","laks v. s. lakshmanan, h. v. jagadish, divesh srivastava","vldb",1999
"conf/vldb/BohannonLRSSS97","logical and physical versioning in main memory databases","s. seshadri, rajeev rastogi, abraham silberschatz, philip bohannon, dennis w. leinbaugh, s. sudarshan","vldb",1997
"conf/sigmod/LometW98","efficient and transparent application recovery in client-server information systems","david b. lomet, gerhard weikum","sigmod conference",1998
"conf/sigmod/ChaudhuriG96","optimizing queries over multimedia repositories","luis gravano, surajit chaudhuri","sigmod conference",1996
"journals/sigmod/MaelbranckeO95","optimizing jan jannink's implementation of b+-tree deletion","h. olivie, r. maelbrancke","sigmod record",1995
"conf/sigmod/BouguettayaBH99","world wide database - integrating the web, corba, and databases","kevin smith, athman bouguettaya, mourad ouzzani, james beard, lily hendra, boualem benatallah","sigmod conference",1999
"conf/vldb/LingLL00","hierarchical compact cube for range-max queries","hua-gang li, sin yeung lee, tok wang ling","vldb",2000
"conf/sigmod/ChoSG00","finding replicated web collections","narayanan shivakumar, junghoo cho, hector garcia-molina","sigmod conference",2000
"conf/sigmod/ChawatheRGW96","change detection in hierarchically structured information","jennifer widom, sudarshan s. chawathe, hector garcia-molina, anand rajaraman","sigmod conference",1996
"conf/sigmod/CruzALRZ97","delaunay: a database visualization system","kirby zhang, isabel f. cruz, michael averbuch, wendy t. lucas, melissa radzyminski","sigmod conference",1997
"journals/tods/StolboushkinT98","safe stratified datalog with integer order does not have syntax","alexei p. stolboushkin, michael a. taitslin","acm trans. database syst.",1998
"journals/sigmod/Huyn01","data analysis and mining in the life sciences","nam huyn","sigmod record",2001
"journals/sigmod/Franklin98b","editor's notes","michael j. franklin","sigmod record",1998
"journals/sigmod/LacroixB03","report on the first international workshop an efficient web-based information systems","omar boucelma, zo? lacroix","sigmod record",2003
"journals/vldb/Baumann94","management of multidimensional discrete data","peter baumann","vldb j.",1994
"journals/sigmod/Bussche00","constraint databases: a tutorial introduction","jan van den bussche","sigmod record",2000
"journals/sigmod/X94b","calls for papers / announcements","?","sigmod record",1994
"journals/sigmod/Aberer03a","report on the first international conference on ontologies, databases and applications of semantics","karl aberer","sigmod record",2003
"journals/sigmod/Naughton00","sigmod'2000 program chair's message","jeffrey f. naughton","sigmod record",2000
"conf/sigmod/2003","proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003","?","sigmod conference",2003
"journals/sigmod/JensenCEGHJ94","a consensus glossary of temporal database concepts","shashi k. gadia, christian s. jensen, patrick j. hayes, ramez elmasri, sushil jajodia, james clifford","sigmod record",1994
"conf/vldb/HuangJR97","spatial joins using r-trees: breadth-first traversal with global optimizations","ning jing, yun-wu huang, elke a. rundensteiner","vldb",1997
"conf/sigmod/Toyama98","supersql: an extended sql for database publishing and presentation","motomichi toyama","sigmod conference",1998
"journals/vldb/VerykiosME03","a bayesian decision model for cost optimal record matching","george v. moustakides, vassilios s. verykios, mohamed g. elfeky","vldb j.",2003
"conf/vldb/GoyalHSS95","index concurrency control in firm real-time database systems","brajesh goyal, s. seshadri, v. srinivasan, jayant r. haritsa","vldb",1995
"journals/tods/BohlenJS00","temporal statement modifiers","richard t. snodgrass, christian s. jensen, michael h. b?hlen","acm trans. database syst.",2000
"journals/sigmod/Hanson99","statement from the treasurer","eric n. hanson","sigmod record",1999
"conf/sigmod/GoldsteinL01","optimizing queries using materialized views: a practical, scalable solution","per-?ke larson, jonathan goldstein","sigmod conference",2001
"conf/sigmod/BaruGLMPVC99","xml-based information mediation with mix","yannis papakonstantinou, richard marciano, chaitanya k. baru, pavel velikhov, vincent chu, amarnath gupta, bertram lud?scher","sigmod conference",1999
"conf/vldb/Keogh02","exact indexing of dynamic time warping","eamonn j. keogh","vldb",2002
"conf/vldb/SchieferKBLF98","ibm's db2 universal database demonstrations at vldb'98","k. bernhard schiefer, karen brannon, guy m. lohman, gene fuh, jim kleewein","vldb",1998
"journals/tods/Bohm00","a cost model for query processing in high dimensional data spaces","christian b?hm","acm trans. database syst.",2000
"journals/vldb/Navarro02","searching in metric spaces by spatial approximation","gonzalo navarro","vldb j.",2002
"conf/sigmod/BabcockBDM03","chain : operator scheduling for memory minimization in data stream systems","brian babcock, shivnath babu, rajeev motwani, mayur datar","sigmod conference",2003
"conf/sigmod/ShklarSKT95","infoharness: a system for search and retrieval of heterogeneous information","amit p. sheth, vipul kashyap, satish thatte, leon a. shklar","sigmod conference",1995
"conf/vldb/BaulierBKS98","a database system for real-time event aggregation in telecommunication","henry f. korth, jerry baulier, abraham silberschatz, stephen blott","vldb",1998
"journals/vldb/Halevy02","guest editorial","alon y. halevy","vldb j.",2002
"journals/sigmod/SnodgrassGIMSU98","reminiscences on influential papers","hector garcia-molina, patricia g. selinger, tomasz imielinski, david maier, jeffrey d. ullman, richard t. snodgrass","sigmod record",1998
"conf/sigmod/JarkeQBLMS99","improving oltp data quality using data warehouse mechanisms","matthias jarke, dirk lehmann, gunter michalk, guido blees, stefan striel, christoph quix","sigmod conference",1999
"conf/vldb/RohmBSS02","fas - a freshness-sensitive coordination middleware for a cluster of olap components","uwe r?hm, klemens b?hm, hans-j?rg schek, heiko schuldt","vldb",2002
"journals/sigmod/BoucelmaCGJLL02","report on the edbt'02 panel on scientific data integration","carole a. goble, omar boucelma, silvana castano, vanja josifovski, zo? lacroix, bertram lud?scher","sigmod record",2002
"conf/vldb/OzsoyogluAAOUO02","sideway value algebra for object-relational databases","z. meral ?zsoyoglu, gultekin ?zsoyoglu, abdullah al-hamdani, ?zg?r ulusoy, selma ayse ?zel, ismail seng?r alting?vde","vldb",2002
"journals/sigmod/Cruz00","sigmod digital symposium collection (disc) editor's message","isabel f. cruz","sigmod record",2000
"conf/sigmod/KriegelBKPS03","using sets of feature vectors for similarity search on voxelized cad objects","martin pfeifle, hans-peter kriegel, stefan brecheisen, peer kr?ger, matthias schubert","sigmod conference",2003
"journals/vldb/TsatalosSI96","the gmap: a versatile tool for physical data independence","yannis e. ioannidis, marvin h. solomon, odysseas g. tsatalos","vldb j.",1996
"conf/vldb/GhoshPSH02","plan selection based on query clustering","antara ghosh, vibhuti s. sengar, jayant r. haritsa, jignashu parikh","vldb",2002
"journals/sigmod/HanBP01","wrapping web data into xml","david buttler, wei han, calton pu","sigmod record",2001
"journals/vldb/GrefenVA01","global transaction support for workflow management systems: from formal specification to practical implementation","paul w. p. j. grefen, peter m. g. apers, jochem vonk","vldb j.",2001
"conf/vldb/Orenstein98","starting (and sometimes ending) a database company","jack a. orenstein","vldb",1998
"conf/sigmod/AnkerstBKS99","optics: ordering points to identify the clustering structure","j?rg sander, hans-peter kriegel, markus m. breunig, mihael ankerst","sigmod conference",1999
"journals/tods/CasatiCPP99","specification and implementation of exceptions in workflow management systems","stefano paraboschi, stefano ceri, fabio casati, giuseppe pozzi","acm trans. database syst.",1999
"journals/sigmod/Eisenberg96","new standard for stored procedures in sql","andrew eisenberg","sigmod record",1996
"conf/vldb/FlorescuLSY99","optimization of run-time management of data intensive web-sites","khaled yagoub, dan suciu, alon y. levy, daniela florescu","vldb",1999
"conf/sigmod/AbiteboulBCMM03","dynamic xml documents with distribution and replication","ioana manolescu, serge abiteboul, tova milo, angela bonifati, gregory cobena","sigmod conference",2003
"conf/sigmod/TsueiPK97","database buffer size investigation for oltp workloads (experience paper)","thin-fong tsuei, allan packer, keng-tai ko","sigmod conference",1997
"journals/sigmod/SnodgrassACFLLORRSV99","reminiscences on influential papers","patrick valduriez, serge abiteboul, sophie cluet, kenneth a. ross, raghu ramakrishnan, guy m. lohman, david b. lomet, richard t. snodgrass, gultekin ?zsoyoglu, michael j. franklin, timos k. sellis","sigmod record",1999
"conf/sigmod/MankuRL99","random sampling techniques for space efficient online computation of order statistics of large datasets","sridhar rajagopalan, bruce g. lindsay, gurmeet singh manku","sigmod conference",1999
"journals/vldb/Ozsu03","new partnership with acm and update on the journal","m. tamer ?zsu","vldb j.",2003
"conf/sigmod/BressanGOT00","integrating replacement policies in storm: an extensible approach","st?phane bressan, kian-lee tan, beng chin ooi, chong leng goh","sigmod conference",2000
"conf/sigmod/Ivinskis95","high availability of commercial applications","kestutis ivinskis","sigmod conference",1995
"conf/vldb/RamakrishnanR96","modeling design versions","d. janaki ram, r. ramakrishnan","vldb",1996
"conf/sigmod/BerchtoldK98","high-dimensional index structures, database support for next decade's applications (tutorial)","daniel a. keim, stefan berchtold","sigmod conference",1998
"conf/sigmod/ChoALS03","lockx: a system for efficiently querying secure xml","sungran cho, laks v. s. lakshmanan, divesh srivastava, sihem amer-yahia","sigmod conference",2003
"journals/sigmod/Winslett02a","david dewitt speaks out","marianne winslett","sigmod record",2002
"conf/sigmod/AndersonAF98","oracle rdb's record caching model","richard frank, gopalan arun, richard anderson","sigmod conference",1998
"conf/sigmod/Agarwal96","a super scalar sort algorithm for risc processors","ramesh c. agarwal","sigmod conference",1996
"journals/tods/GraefeC95","fast algorithms for universal quantification in large databases","goetz graefe, richard l. cole","acm trans. database syst.",1995
"journals/sigmod/Snodgrass99a","chair's message","richard t. snodgrass","sigmod record",1999
"conf/vldb/TsurAADKW01","are web services the next revolution in e-commerce? (panel)","umeshwar dayal, gerhard weikum, rakesh agrawal, johannes klein, shalom tsur, serge abiteboul","vldb",2001
"conf/vldb/LuL00","decision tables: scalable classification exploring rdbms capabilities","hongyan liu, hongjun lu","vldb",2000
"conf/sigmod/RaoR98","reusing invariants: a new strategy for correlated queries","jun rao, kenneth a. ross","sigmod conference",1998
"conf/vldb/CarusoCGLM00","telcordia's database reconciliation and data quality analysis tool","munir cochinwala, francesco caruso, paolo missier, uma ganapathy, gail lalk","vldb",2000
"conf/vldb/ChatziantoniouR97","groupwise processing of relational queries","kenneth a. ross, damianos chatziantoniou","vldb",1997
"journals/vldb/FiebigHKMNSW02","anatomy of a native xml base management system","thorsten fiebig, till westmann, robert schiele, guido moerkotte, carl-christian kanne, julia neumann, sven helmer","vldb j.",2002
"conf/sigmod/LiuPBHPT00","aqr-toolkit: an adaptive query routing middleware for distributed data intensive systems","henrique paques, wei tang, calton pu, wei han, ling liu, david buttler","sigmod conference",2000
"journals/vldb/BraumandlKKKKSS01","objectglobe: ubiquitous query processing on the internet","stefan seltzsam, donald kossmann, markus keidl, reinhard braumandl, alexander kreutz, konrad stocker, alfons kemper","vldb j.",2001
"journals/sigmod/PaepckeGRC00","beyond document similarity: understanding value-based search and browsing technologies","gerard rodr?guez-mul?, andreas paepcke, junghoo cho, hector garcia-molina","sigmod record",2000
"conf/sigmod/WodtkeWWDM97","the mentor workbench for enterprise-wide workflow management","jeanine wei?enfels, dirk wodtke, angelika kotz dittrich, gerhard weikum, peter muth","sigmod conference",1997
"conf/sigmod/GravanoGT94","the effectiveness of gloss for the text database discovery problem","luis gravano, anthony tomasic, hector garcia-molina","sigmod conference",1994
"conf/vldb/Shaw98","technology and the future of commerce and finance (abstract)","david elliot shaw","vldb",1998
"conf/vldb/FlorescuKLP97","using probabilistic information in data integration","alon y. levy, daniela florescu, daphne koller","vldb",1997
"conf/sigmod/ChaudhuriGN02","compressing sql workloads","surajit chaudhuri, ashish kumar gupta, vivek r. narasayya","sigmod conference",2002
"conf/vldb/KraftSRM03","coarse-grained optimization: techniques for rewriting sql statement sequences","bernhard mitschang, tobias kraft, holger schwarz, ralf rantzau","vldb",2003
"journals/vldb/KraissW98","integrated document caching and prefetching in storage hierarchies based on markov-chain predictions","achim kraiss, gerhard weikum","vldb j.",1998
"journals/sigmod/Konig-RiesMMPPRSVW02","report on the nsf workshop on building an infrastructure for mobile and wireless systems","ouri wolfson, s. a. m. makki, kia makki, charles e. perkins, birgitta k?nig-ries, peter l. reiher, niki pissinou, peter scheuermann, jari veijalainen","sigmod record",2002
"conf/sigmod/Stonebraker98","are we working on the right problems? (panel)","michael stonebraker","sigmod conference",1998
"conf/vldb/X00","ordering information, conference organizers, program committees, additional reviewers, additional demonstrations reviewers, sponsors, vldb endowment, preface, foreword","?","vldb",2000
"journals/tods/MayL02","understanding the global semantics of referential actions using logic rules","wolfgang may, bertram lud?scher","acm trans. database syst.",2002
"journals/sigmod/Liu02c","editor's notes","ling liu","sigmod record",2002
"journals/vldb/MuthOPW00","the lham log-structured history data access method","gerhard weikum, patrick e. o'neil, peter muth, achim pick","vldb j.",2000
"journals/vldb/OzsuPSILM95","tigukat: a uniform behavioral objectbase management system","randal j. peters, m. tamer ?zsu, boman irani, adriana mu?oz, anna lipka, duane szafron","vldb j.",1995
"conf/sigmod/ChangBCLLS00","the onion technique: indexing for linear optimization queries","chung-sheng li, vittorio castelli, lawrence d. bergman, john r. smith, yuan-chi chang, ming-ling lo","sigmod conference",2000
